latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
33.989452,-117.415726,260.0,-28800,America/Los_Angeles,PST

time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_mean (°C),daylight_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h)
1230796800,2,19.7,3.0,10.9,9.2,35792.86,0.00,0.00,0.00,0.0
1230883200,51,15.2,5.3,9.8,8.3,35829.14,0.30,0.30,0.00,2.0
1230969600,51,11.9,6.9,8.9,7.4,35868.14,0.50,0.50,0.00,4.0
1231056000,2,12.3,-0.2,5.7,2.1,35909.81,0.00,0.00,0.00,0.0
1231142400,3,11.9,-2.4,4.8,1.5,35954.09,0.00,0.00,0.00,0.0
1231228800,3,15.5,1.7,8.3,6.2,36000.93,0.00,0.00,0.00,0.0
1231315200,1,19.6,2.4,10.9,9.4,36050.25,0.00,0.00,0.00,0.0
1231401600,2,20.8,4.1,11.8,10.5,36102.02,0.00,0.00,0.00,0.0
1231488000,2,19.1,4.5,10.5,7.6,36156.15,0.00,0.00,0.00,0.0
1231574400,0,19.1,1.0,8.8,5.3,36212.61,0.00,0.00,0.00,0.0
1231660800,2,23.1,3.9,12.0,9.1,36271.65,0.00,0.00,0.00,0.0
1231747200,0,24.4,4.7,12.5,9.4,36333.83,0.00,0.00,0.00,0.0
1231833600,0,24.3,5.8,13.1,10.3,36399.00,0.00,0.00,0.00,0.0
1231920000,0,25.7,4.0,13.0,10.1,36467.05,0.00,0.00,0.00,0.0
1232006400,0,24.9,4.7,12.9,9.9,36537.85,0.00,0.00,0.00,0.0
1232092800,0,23.5,4.9,12.6,9.3,36611.26,0.00,0.00,0.00,0.0
1232179200,0,24.5,4.7,13.6,10.6,36687.15,0.00,0.00,0.00,0.0
1232265600,3,24.0,4.9,12.9,9.6,36765.40,0.00,0.00,0.00,0.0
1232352000,3,25.2,7.6,14.9,11.9,36845.88,0.00,0.00,0.00,0.0
1232438400,3,26.0,9.6,17.0,13.8,36928.46,0.00,0.00,0.00,0.0
1232524800,3,23.8,11.2,17.1,15.1,37013.02,0.00,0.00,0.00,0.0
