latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,
37.785587,-122.40964,18,-28800,America/Los_Angeles,PST,,,,,
,,,,,,,,,,
time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_mean (°C),daylight_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h)
1262332800,55,13.9,10.5,12.1,10.9,34582.02,3,3,0,4
1262419200,51,14.7,8.7,12.1,11.6,34622.23,0.4,0.4,0,2
1262505600,3,13.4,5.7,8.8,6.3,34665.63,0,0,0,0
1262592000,3,14.3,4.2,8.7,6.3,34712.15,0,0,0,0
1262678400,3,14.4,4.8,8.7,6.6,34761.77,0,0,0,0
1262764800,3,14,6.4,10.1,8.5,34814.74,0,0,0,0
1262851200,51,13,5.9,9.1,7.7,34871.53,0.3,0.3,0,2
1262937600,51,14.2,7.1,9.5,7.5,34932.01,0.3,0.3,0,1
1263024000,3,11.8,6.3,8.6,6.9,34996.04,0,0,0,0
1263110400,3,13.6,5.6,8.7,6.8,35063.48,0,0,0,0
1263196800,3,14.4,6.8,10,8.3,35134.21,0,0,0,0
1263283200,63,14.9,10.9,13.1,10.3,35208.07,17.3,17.3,0,15
1263369600,63,14.3,8.6,12,9.9,35284.94,5.1,5.1,0,7
1263456000,3,13.5,5.2,9.5,8.3,35364.67,0,0,0,0
1263542400,3,13.4,5.6,9.3,7.5,35447.12,0,0,0,0
1263628800,53,14.4,5.2,10.3,8.2,35532.18,1.3,1.3,0,5
1263715200,61,12.7,10.5,11.5,8.7,35619.7,10.9,10.9,0,15
1263801600,63,12.6,10.6,11.7,7.1,35709.55,28.5,28.5,0,18
1263888000,63,13.1,10,11.2,6.7,35801.59,28.8,28.8,0,18
1263974400,63,12,9.4,10.4,5.1,35895.72,41.7,41.7,0,24
1264060800,63,9.6,6.2,8,4.5,35991.79,28.8,28.8,0,21
1264147200,53,10,5.6,7.7,4.8,36089.68,7,7,0,17
1264233600,53,11.9,5.7,8.6,6.3,36189.26,3.6,3.6,0,11
1264320000,61,11.3,5.9,8.6,5.8,36290.42,14.2,14.2,0,16
1264406400,63,12.1,10,11,7.7,36393.04,29.1,29.1,0,24
1264492800,55,11.7,8.4,10.7,8.9,36497.56,4.9,4.9,0,11
1264579200,3,13.1,6.1,9.3,8,36604.88,0,0,0,0
1264665600,3,13.2,6.4,9,7.4,36714.84,0,0,0,0
1264752000,61,13.4,6.4,9.5,7.4,36827.29,5.6,5.6,0,7
1264838400,3,12.8,6,9.3,7.8,36942.06,0,0,0,0
1264924800,51,12.1,6,8.5,7.3,37058.99,0.5,0.5,0,2
1265011200,51,13.8,6.5,10.2,8.9,37177.93,0.2,0.2,0,2
1265097600,51,13.6,5.3,9.4,7.8,37298.71,0.4,0.4,0,3
1265184000,3,14.3,7.8,10.8,9.7,37421.19,0,0,0,0
1265270400,63,14.1,8,11.3,7.8,37545.21,17.9,17.9,0,13
1265356800,51,15.5,7.7,11.6,9.7,37670.64,0.8,0.8,0,3
1265443200,61,13.3,9.7,11.2,8,37797.32,7.4,7.4,0,12
1265529600,1,13.3,7.9,10.1,6.7,37925.12,0,0,0,0
1265616000,51,11.9,6.5,9.2,6.5,38053.89,0.3,0.3,0,2
1265702400,61,12.6,6.9,9.7,6.6,38183.5,4.2,4.2,0,7
1265788800,3,12.7,5.7,9.4,6.9,38313.82,0,0,0,0
1265875200,53,13.4,6.2,9.9,7.5,38444.71,1.3,1.3,0,4
1265961600,51,15.4,11.1,12.8,11,38576.05,1,1,0,6
1266048000,3,15.8,9.7,12.2,11.5,38707.71,0,0,0,0
1266134400,3,15,8.2,11,10,38839.57,0,0,0,0
1266220800,3,15.8,9.4,11.7,10.7,38972.1,0,0,0,0
1266307200,3,17.3,9.5,12.6,12.1,39106.29,0,0,0,0
1266393600,3,17.6,8.9,12.4,11.8,39242.04,0,0,0,0
1266480000,3,13.9,9.3,11.2,10.2,39379.2,0,0,0,0
1266566400,3,13.1,7.9,10.7,9.1,39517.64,0,0,0,0
1266652800,3,11.9,6.9,9.7,6.6,39657.25,0,0,0,0
1266739200,53,12.1,8.6,10.3,8.1,39797.89,4.3,4.3,0,12
1266825600,3,14.4,5.5,10,8.4,39939.44,0,0,0,0
1266912000,63,11.4,7.2,9.6,6.1,40081.78,22.8,22.8,0,14
1266998400,61,14.2,9.1,12.1,10.5,40224.79,5.5,5.5,0,5
1267084800,3,15.5,8.9,11.5,10.7,40368.34,0,0,0,0
1267171200,63,14.9,9.8,12.1,9,40512.33,16,16,0,9
1267257600,61,14.8,8.9,11.5,9.3,40656.64,9.1,9.1,0,14
1267344000,3,15.4,7.5,11.1,9.7,40801.16,0,0,0,0
1267430400,3,14.9,7.8,10.7,9.1,40945.78,0,0,0,0
1267516800,61,13.9,10.1,11.7,8.8,41090.38,13.1,13.1,0,13
1267603200,63,11.6,6.5,9.7,6.2,41234.86,16.4,16.4,0,17
1267689600,3,12.5,4.8,8.4,5.9,41379.11,0,0,0,0
1267776000,3,13.5,5.2,10,7.6,41523.01,0,0,0,0
1267862400,3,16.5,7,11.5,9.4,41666.46,0,0,0,0
1267948800,2,14.9,7.4,10.8,7.4,41809.93,0,0,0,0
1268035200,51,11.1,7.1,9.3,4,41954.32,1.2,1.2,0,5
1268121600,51,12,5,8.6,3.6,42099.56,0.2,0.2,0,1
1268208000,61,12.6,5.8,9.2,5.1,42245.55,2.1,2.1,0,2
1268294400,3,13.2,5.4,9.3,7.1,42392.18,0,0,0,0
1268380800,61,12.7,7.3,10,6.4,42539.36,9.6,9.6,0,9
1268467200,1,13.6,4.3,8.8,5,42686.98,0,0,0,0
