latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
37.926186,-121.28859,5.0,-28800,America/Los_Angeles,PST

time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_mean (°C),daylight_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h)
1262332800,3,14.1,5.1,9.9,8.4,34534.93,0.00,0.00,0.00,0.0
1262419200,3,15.3,7.9,11.1,10.0,34575.37,0.00,0.00,0.00,0.0
1262505600,3,14.3,6.4,9.4,8.3,34619.01,0.00,0.00,0.00,0.0
1262592000,3,14.4,5.1,8.8,7.4,34665.80,0.00,0.00,0.00,0.0
1262678400,3,14.1,4.6,8.4,6.8,34715.69,0.00,0.00,0.00,0.0
1262764800,51,13.6,3.6,8.3,6.8,34768.96,0.10,0.10,0.00,1.0
1262851200,3,12.9,5.2,8.5,7.3,34826.07,0.00,0.00,0.00,0.0
1262937600,51,14.7,6.6,9.4,8.2,34886.89,0.40,0.40,0.00,2.0
1263024000,3,11.9,5.3,8.2,7.1,34951.28,0.00,0.00,0.00,0.0
1263110400,3,13.7,5.1,8.6,7.5,35019.11,0.00,0.00,0.00,0.0
1263196800,3,18.3,5.5,11.4,10.1,35090.23,0.00,0.00,0.00,0.0
1263283200,63,16.9,7.1,12.3,10.6,35164.51,8.90,8.90,0.00,11.0
1263369600,63,15.7,7.9,12.4,11.0,35241.80,11.70,11.70,0.00,6.0
1263456000,3,15.0,4.6,9.1,7.3,35321.97,0.00,0.00,0.00,0.0
1263542400,3,15.7,5.2,9.7,7.9,35404.89,0.00,0.00,0.00,0.0
1263628800,3,15.2,3.9,9.7,8.5,35490.41,0.00,0.00,0.00,0.0
1263715200,61,13.0,9.6,10.7,8.8,35578.41,17.80,17.80,0.00,22.0
1263801600,63,12.9,8.8,10.9,7.1,35668.76,23.30,23.30,0.00,16.0
1263888000,63,10.8,7.5,9.1,4.6,35761.32,27.00,27.00,0.00,18.0
1263974400,63,10.8,7.4,8.8,3.9,35855.96,39.20,39.20,0.00,21.0
1264060800,61,8.3,4.7,6.6,3.6,35952.55,23.50,23.50,0.00,23.0
1264147200,61,7.5,3.6,5.7,3.1,36050.98,7.30,7.30,0.00,9.0
1264233600,51,11.7,3.4,6.7,4.1,36151.11,0.90,0.90,0.00,4.0
1264320000,63,8.9,1.6,5.7,3.1,36252.82,8.70,8.70,0.00,15.0
1264406400,61,9.7,8.0,8.8,5.9,36356.00,12.30,12.30,0.00,18.0
1264492800,53,13.0,7.9,10.3,8.2,36461.09,8.50,8.50,0.00,18.0
1264579200,3,14.0,5.1,8.6,6.8,36568.99,0.00,0.00,0.00,0.0
1264665600,3,13.1,4.6,8.5,6.9,36679.55,0.00,0.00,0.00,0.0
1264752000,53,16.2,5.3,9.7,8.2,36792.61,2.70,2.70,0.00,8.0
1264838400,51,13.8,4.5,9.1,7.5,36908.00,0.90,0.90,0.00,3.0
1264924800,51,12.3,4.1,7.7,6.4,37025.56,0.10,0.10,0.00,1.0
1265011200,3,15.0,5.4,9.7,8.1,37145.13,0.00,0.00,0.00,0.0
1265097600,3,14.0,4.1,8.9,7.5,37266.56,0.00,0.00,0.00,0.0
1265184000,3,14.9,5.9,10.0,8.8,37389.70,0.00,0.00,0.00,0.0
1265270400,61,15.1,4.9,10.5,7.6,37514.38,10.90,10.90,0.00,9.0
1265356800,61,15.6,9.8,12.0,9.3,37640.48,9.70,9.70,0.00,14.0
1265443200,63,13.0,8.5,10.8,8.9,37767.83,15.20,15.20,0.00,19.0
1265529600,3,13.4,7.3,9.7,7.9,37896.30,0.00,0.00,0.00,0.0
1265616000,51,13.7,4.5,8.9,7.3,38025.76,0.30,0.30,0.00,2.0
1265702400,61,11.6,6.6,8.9,6.5,38156.05,8.20,8.20,0.00,12.0
1265788800,3,15.0,2.9,9.2,7.3,38287.06,0.00,0.00,0.00,0.0
1265875200,3,14.6,4.3,9.5,7.9,38418.64,0.00,0.00,0.00,0.0
1265961600,3,16.1,9.3,11.9,10.7,38550.68,0.00,0.00,0.00,0.0
1266048000,3,17.0,6.5,11.1,10.0,38683.03,0.00,0.00,0.00,0.0
1266134400,3,17.0,5.3,10.9,10.0,38815.57,0.00,0.00,0.00,0.0
1266220800,3,18.1,5.1,11.2,10.2,38948.80,0.00,0.00,0.00,0.0
1266307200,3,18.0,7.8,12.6,12.2,39083.69,0.00,0.00,0.00,0.0
1266393600,3,18.4,7.4,12.5,12.2,39220.14,0.00,0.00,0.00,0.0
1266480000,3,17.2,8.0,12.6,12.2,39358.02,0.00,0.00,0.00,0.0
1266566400,3,13.5,8.9,11.3,10.1,39497.18,0.00,0.00,0.00,0.0
1266652800,3,13.9,5.3,9.6,7.3,39637.52,0.00,0.00,0.00,0.0
1266739200,61,12.4,6.7,9.2,7.3,39778.89,7.50,7.50,0.00,10.0
1266825600,3,14.4,4.3,8.5,6.2,39921.16,0.00,0.00,0.00,0.0
1266912000,63,11.5,5.2,8.4,5.1,40064.24,16.50,16.50,0.00,12.0
1266998400,53,14.7,8.5,10.8,8.7,40207.98,5.70,5.70,0.00,12.0
1267084800,3,16.1,6.9,11.0,9.9,40352.28,0.00,0.00,0.00,0.0
1267171200,63,16.8,9.8,12.3,9.9,40497.01,15.00,15.00,0.00,12.0
1267257600,55,14.8,8.3,11.3,9.8,40642.06,6.70,6.70,0.00,15.0
1267344000,3,17.0,5.5,11.6,10.7,40787.33,0.00,0.00,0.00,0.0
1267430400,3,18.5,7.0,12.2,11.1,40932.69,0.00,0.00,0.00,0.0
1267516800,63,13.1,7.3,10.4,8.6,41078.03,12.70,12.70,0.00,17.0
1267603200,61,11.7,6.3,8.4,6.2,41223.24,21.20,21.20,0.00,18.0
1267689600,53,12.7,3.6,8.3,6.2,41368.23,1.00,1.00,0.00,3.0
1267776000,3,13.5,1.7,8.2,6.0,41512.87,0.00,0.00,0.00,0.0
1267862400,3,17.2,6.5,11.0,9.2,41657.06,0.00,0.00,0.00,0.0
1267948800,2,17.9,6.2,12.2,10.7,41801.25,0.00,0.00,0.00,0.0
1268035200,2,13.1,5.4,9.6,6.2,41946.38,0.00,0.00,0.00,0.0
1268121600,51,12.7,1.9,7.3,4.1,42092.36,0.20,0.20,0.00,1.0
1268208000,61,12.2,4.0,8.0,5.2,42239.09,4.50,4.50,0.00,4.0
1268294400,3,15.4,1.8,9.1,7.4,42386.46,0.00,0.00,0.00,0.0
1268380800,61,13.0,3.0,8.9,6.6,42534.39,10.80,10.80,0.00,10.0
1268467200,2,13.6,2.1,8.3,4.7,42682.77,0.00,0.00,0.00,0.0
1268553600,3,16.0,2.5,9.5,7.0,42831.49,0.00,0.00,0.00,0.0
1268640000,3,19.4,4.5,11.7,10.3,42980.47,0.00,0.00,0.00,0.0
1268726400,3,21.8,8.4,14.6,14.5,43129.61,0.00,0.00,0.00,0.0
1268812800,3,21.8,8.9,14.9,14.6,43278.80,0.00,0.00,0.00,0.0
1268899200,2,23.4,7.2,15.1,13.4,43427.95,0.00,0.00,0.00,0.0
