latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
36.590508,-121.92409,14.0,-28800,America/Los_Angeles,PST

time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_mean (°C),daylight_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h)
1230796800,3,12.8,7.8,10.0,6.7,34984.75,0.00,0.00,0.00,0.0
1230883200,61,13.0,8.3,10.3,7.1,35025.06,3.30,3.30,0.00,4.0
1230969600,3,10.3,6.5,8.7,3.7,35068.39,0.00,0.00,0.00,0.0
1231056000,3,10.5,5.2,7.9,3.7,35114.69,0.00,0.00,0.00,0.0
1231142400,53,10.0,5.5,8.6,5.8,35163.89,2.60,2.60,0.00,7.0
1231228800,3,11.7,7.3,9.5,6.0,35215.91,0.00,0.00,0.00,0.0
1231315200,3,13.6,8.3,10.6,8.1,35270.70,0.00,0.00,0.00,0.0
1231401600,3,12.7,8.9,10.4,6.8,35328.18,0.00,0.00,0.00,0.0
1231488000,0,13.8,7.5,10.4,6.7,35388.29,0.00,0.00,0.00,0.0
1231574400,0,16.2,8.7,11.8,8.6,35450.96,0.00,0.00,0.00,0.0
1231660800,2,17.6,10.3,13.3,9.8,35516.52,0.00,0.00,0.00,0.0
1231747200,0,19.4,10.8,14.3,10.9,35585.53,0.00,0.00,0.00,0.0
1231833600,0,20.7,13.2,16.2,13.1,35657.86,0.00,0.00,0.00,0.0
1231920000,3,19.9,12.4,15.4,12.5,35733.37,0.00,0.00,0.00,0.0
1232006400,0,19.9,8.7,14.6,12.1,35811.91,0.00,0.00,0.00,0.0
1232092800,0,20.8,11.3,15.7,12.9,35893.35,0.00,0.00,0.00,0.0
1232179200,0,19.9,10.2,14.6,11.8,35977.52,0.00,0.00,0.00,0.0
1232265600,0,20.0,10.3,14.9,12.1,36064.29,0.00,0.00,0.00,0.0
1232352000,0,20.0,10.8,15.2,12.4,36153.52,0.00,0.00,0.00,0.0
1232438400,3,17.9,11.2,14.1,11.5,36245.06,0.00,0.00,0.00,0.0
1232524800,61,15.5,11.0,13.1,11.1,36338.79,4.90,4.90,0.00,9.0
1232611200,61,13.3,10.7,11.9,11.0,36434.55,12.80,12.80,0.00,12.0
1232697600,55,13.9,11.2,12.6,12.7,36532.23,9.10,9.10,0.00,18.0
1232784000,51,12.3,10.2,11.6,9.5,36631.68,2.10,2.10,0.00,12.0
1232870400,53,11.4,9.2,10.0,4.4,36732.78,6.40,6.40,0.00,17.0
1232956800,51,10.7,8.1,9.5,4.8,36835.39,1.30,1.30,0.00,6.0
1233043200,0,12.0,6.6,9.4,5.6,36939.39,0.00,0.00,0.00,0.0
1233129600,0,13.6,8.0,10.2,6.4,37044.66,0.00,0.00,0.00,0.0
1233216000,0,17.2,7.6,12.1,9.4,37151.07,0.00,0.00,0.00,0.0
1233302400,0,16.4,7.6,12.1,9.5,37258.50,0.00,0.00,0.00,0.0
1233388800,0,15.8,6.9,11.8,9.5,37367.40,0.00,0.00,0.00,0.0
1233475200,0,17.1,7.9,13.3,10.9,37478.67,0.00,0.00,0.00,0.0
1233561600,0,19.6,10.5,14.4,12.1,37592.18,0.00,0.00,0.00,0.0
1233648000,2,17.5,9.9,13.0,10.8,37707.78,0.00,0.00,0.00,0.0
1233734400,3,15.3,8.6,12.1,9.7,37825.31,0.00,0.00,0.00,0.0
1233820800,61,14.0,11.1,12.4,9.6,37944.63,10.60,10.60,0.00,19.0
1233907200,55,12.2,9.5,11.1,8.6,38065.59,8.60,8.60,0.00,18.0
1233993600,51,13.6,9.5,10.9,9.0,38188.07,0.60,0.60,0.00,3.0
1234080000,63,12.0,8.5,10.5,7.1,38311.90,7.70,7.70,0.00,13.0
