latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
36.801403,-119.44809,144.0,-28800,America/Los_Angeles,PST

time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_mean (°C),daylight_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h)
1230796800,3,11.3,1.1,6.7,4.9,34916.61,0.00,0.00,0.00,0.0
1230883200,61,12.7,6.1,8.6,7.0,34957.26,3.40,3.40,0.00,5.0
1230969600,3,9.1,2.9,5.7,3.1,35000.96,0.00,0.00,0.00,0.0
1231056000,2,10.3,1.6,5.9,3.6,35047.65,0.00,0.00,0.00,0.0
1231142400,51,6.5,2.7,4.5,2.1,35097.27,0.50,0.50,0.00,3.0
1231228800,3,7.6,0.3,3.5,1.2,35149.73,0.00,0.00,0.00,0.0
1231315200,1,12.5,0.3,6.0,4.1,35204.98,0.00,0.00,0.00,0.0
1231401600,2,14.8,2.1,7.7,5.6,35262.95,0.00,0.00,0.00,0.0
1231488000,3,11.2,3.8,6.6,4.7,35323.57,0.00,0.00,0.00,0.0
1231574400,0,14.6,2.9,8.6,6.7,35386.78,0.00,0.00,0.00,0.0
1231660800,2,14.5,4.7,9.2,7.3,35452.88,0.00,0.00,0.00,0.0
1231747200,2,17.7,5.2,10.3,8.3,35522.47,0.00,0.00,0.00,0.0
1231833600,0,19.2,4.1,10.7,9.0,35595.41,0.00,0.00,0.00,0.0
1231920000,0,18.9,3.9,10.3,8.7,35671.56,0.00,0.00,0.00,0.0
1232006400,0,20.0,3.4,10.5,8.8,35750.76,0.00,0.00,0.00,0.0
1232092800,0,19.5,4.5,11.0,8.7,35832.88,0.00,0.00,0.00,0.0
1232179200,0,19.1,4.6,11.2,9.0,35917.75,0.00,0.00,0.00,0.0
1232265600,0,20.8,3.5,11.0,9.0,36005.25,0.00,0.00,0.00,0.0
1232352000,1,19.8,3.8,10.7,8.5,36095.22,0.00,0.00,0.00,0.0
1232438400,2,21.3,3.3,11.0,9.2,36187.52,0.00,0.00,0.00,0.0
1232524800,51,19.3,5.5,12.1,10.5,36282.03,0.50,0.50,0.00,3.0
1232611200,61,16.3,10.4,12.8,12.7,36378.58,10.10,10.10,0.00,17.0
1232697600,63,17.6,8.0,13.1,13.0,36477.06,16.40,16.40,0.00,15.0
1232784000,63,14.3,8.8,12.2,11.6,36577.34,19.60,19.60,0.00,24.0
1232870400,61,10.5,4.0,8.0,5.9,36679.27,5.30,5.30,0.00,15.0
1232956800,3,10.2,2.6,6.4,4.0,36782.72,0.00,0.00,0.00,0.0
