latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
36.731106,-119.76378,91.0,-28800,America/Los_Angeles,PST

time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_mean (°C),daylight_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h)
1230796800,3,11.0,0.9,5.7,3.8,34939.37,0.00,0.00,0.00,0.0
1230883200,53,13.4,2.7,7.7,6.0,34979.90,1.70,1.70,0.00,4.0
1230969600,3,9.7,3.0,6.5,3.6,35023.48,0.00,0.00,0.00,0.0
1231056000,3,10.7,0.9,5.0,2.2,35070.05,0.00,0.00,0.00,0.0
1231142400,51,5.7,2.5,4.2,1.7,35119.52,0.30,0.30,0.00,2.0
1231228800,3,7.7,0.4,3.7,1.5,35171.83,0.00,0.00,0.00,0.0
1231315200,2,11.5,-0.2,5.0,3.1,35226.93,0.00,0.00,0.00,0.0
1231401600,2,13.9,2.1,7.0,4.5,35284.74,0.00,0.00,0.00,0.0
1231488000,3,11.7,3.8,6.6,4.6,35345.19,0.00,0.00,0.00,0.0
1231574400,0,15.0,2.3,8.0,6.0,35408.22,0.00,0.00,0.00,0.0
1231660800,3,14.5,3.8,8.2,6.2,35474.13,0.00,0.00,0.00,0.0
1231747200,2,17.2,4.6,9.5,7.4,35543.53,0.00,0.00,0.00,0.0
1231833600,0,18.7,2.5,9.9,8.1,35616.27,0.00,0.00,0.00,0.0
1231920000,2,18.2,3.5,9.7,8.0,35692.20,0.00,0.00,0.00,0.0
1232006400,1,19.3,5.0,10.5,8.8,35771.19,0.00,0.00,0.00,0.0
1232092800,0,19.3,2.4,10.0,7.9,35853.07,0.00,0.00,0.00,0.0
1232179200,1,18.9,3.0,10.3,8.4,35937.71,0.00,0.00,0.00,0.0
1232265600,0,20.8,3.3,11.2,9.3,36024.96,0.00,0.00,0.00,0.0
1232352000,0,19.5,3.2,10.3,8.2,36114.69,0.00,0.00,0.00,0.0
1232438400,2,20.3,4.0,11.3,9.6,36206.74,0.00,0.00,0.00,0.0
1232524800,51,17.3,6.4,11.8,10.2,36300.98,0.20,0.20,0.00,1.0
1232611200,61,15.1,9.0,11.9,11.5,36397.28,11.20,11.20,0.00,20.0
1232697600,61,16.8,9.7,13.1,13.3,36495.49,8.90,8.90,0.00,14.0
1232784000,53,15.4,10.1,13.1,12.4,36595.49,8.00,8.00,0.00,21.0
1232870400,51,12.1,6.2,9.2,6.7,36697.13,1.80,1.80,0.00,9.0
1232956800,3,11.6,1.9,6.7,4.2,36800.31,0.00,0.00,0.00,0.0
