latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
39.824253,-122.96657,1249.0,-28800,America/Los_Angeles,PST

time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_mean (°C),daylight_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h)
1230796800,3,8.7,2.5,4.4,1.9,33890.26,0.00,0.00,0.00,0.0
1230883200,61,4.7,-4.1,2.3,-0.8,33936.16,7.50,7.50,0.00,8.0
1230969600,3,3.4,-3.5,-0.9,-4.8,33985.50,0.00,0.00,0.00,0.0
1231056000,71,3.4,-1.8,0.3,-3.3,34038.21,0.10,0.00,0.14,1.0
1231142400,53,4.8,-0.5,2.0,-0.2,34094.20,5.10,5.10,0.00,14.0
1231228800,3,10.7,1.1,4.7,2.5,34153.40,0.00,0.00,0.00,0.0
1231315200,1,14.6,0.6,7.2,4.8,34215.74,0.00,0.00,0.00,0.0
1231401600,51,8.4,0.3,3.8,0.9,34281.13,0.90,0.90,0.00,3.0
1231488000,0,10.4,-1.0,3.3,-0.9,34349.51,0.00,0.00,0.00,0.0
1231574400,2,16.9,1.0,7.6,4.1,34420.78,0.00,0.00,0.00,0.0
1231660800,3,16.6,5.6,9.5,6.5,34495.30,0.00,0.00,0.00,0.0
1231747200,3,17.5,4.3,9.5,6.3,34573.75,0.00,0.00,0.00,0.0
1231833600,0,20.8,3.9,10.8,7.9,34655.95,0.00,0.00,0.00,0.0
1231920000,3,20.9,8.9,12.7,9.8,34741.74,0.00,0.00,0.00,0.0
1232006400,0,20.4,6.2,11.6,8.1,34830.96,0.00,0.00,0.00,0.0
1232092800,0,18.8,3.6,10.0,6.6,34923.44,0.00,0.00,0.00,0.0
1232179200,0,18.7,6.7,11.0,8.2,35019.01,0.00,0.00,0.00,0.0
1232265600,0,16.2,1.6,8.0,4.7,35117.50,0.00,0.00,0.00,0.0
1232352000,0,16.3,1.7,7.9,4.7,35218.75,0.00,0.00,0.00,0.0
1232438400,3,15.4,4.0,8.5,5.2,35322.61,0.00,0.00,0.00,0.0
