latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
37.785587,-122.40964,18.0,-28800,America/Los_Angeles,PST

time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_mean (°C),daylight_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h)
1230796800,3,11.5,6.6,8.6,6.8,34592.92,0.00,0.00,0.00,0.0
1230883200,61,12.0,6.4,9.7,6.3,34635.21,3.90,3.90,0.00,5.0
1230969600,3,11.6,3.7,7.2,3.4,34680.68,0.00,0.00,0.00,0.0
1231056000,3,9.7,3.6,6.4,3.6,34729.25,0.00,0.00,0.00,0.0
1231142400,51,8.4,4.9,6.8,3.6,34780.86,0.60,0.60,0.00,4.0
1231228800,3,12.7,4.3,8.5,6.7,34835.43,0.00,0.00,0.00,0.0
1231315200,3,11.6,6.5,8.7,7.1,34892.90,0.00,0.00,0.00,0.0
1231401600,3,14.0,6.1,9.6,7.4,34953.19,0.00,0.00,0.00,0.0
1231488000,0,15.4,4.4,9.3,6.1,35016.24,0.00,0.00,0.00,0.0
1231574400,1,16.1,4.8,9.5,5.8,35081.97,0.00,0.00,0.00,0.0
1231660800,3,18.1,4.5,10.5,8.1,35150.71,0.00,0.00,0.00,0.0
1231747200,1,20.6,8.0,13.4,10.6,35223.07,0.00,0.00,0.00,0.0
1231833600,0,19.9,8.0,13.1,10.2,35298.91,0.00,0.00,0.00,0.0
1231920000,3,19.3,4.8,11.0,8.4,35378.08,0.00,0.00,0.00,0.0
1232006400,0,19.1,4.1,10.3,7.4,35460.42,0.00,0.00,0.00,0.0
1232092800,0,19.5,6.0,11.4,8.1,35545.79,0.00,0.00,0.00,0.0
1232179200,0,19.1,4.1,10.4,7.6,35634.01,0.00,0.00,0.00,0.0
1232265600,0,18.7,5.4,10.7,7.2,35724.95,0.00,0.00,0.00,0.0
1232352000,0,19.2,6.4,11.2,7.6,35818.46,0.00,0.00,0.00,0.0
1232438400,3,19.0,5.3,11.0,7.9,35914.39,0.00,0.00,0.00,0.0
1232524800,55,14.2,7.2,10.1,7.8,36012.60,7.60,7.60,0.00,10.0
1232611200,55,13.2,8.7,10.8,9.9,36112.93,4.00,4.00,0.00,6.0
1232697600,53,13.4,10.5,11.8,11.0,36215.26,4.30,4.30,0.00,16.0
1232784000,3,12.1,8.2,10.6,8.1,36319.43,0.00,0.00,0.00,0.0
1232870400,53,11.9,7.4,9.0,4.0,36425.32,0.70,0.70,0.00,2.0
1232956800,1,12.5,4.1,7.8,4.3,36532.79,0.00,0.00,0.00,0.0
1233043200,0,11.7,2.4,7.1,3.8,36641.70,0.00,0.00,0.00,0.0
1233129600,3,14.3,3.3,8.6,6.4,36751.93,0.00,0.00,0.00,0.0
1233216000,3,17.4,4.1,10.1,7.2,36863.34,0.00,0.00,0.00,0.0
1233302400,0,17.2,3.7,9.7,6.9,36975.82,0.00,0.00,0.00,0.0
1233388800,3,16.7,5.3,10.1,8.4,37089.82,0.00,0.00,0.00,0.0
1233475200,3,17.3,4.4,10.1,7.8,37206.30,0.00,0.00,0.00,0.0
1233561600,0,19.3,4.0,10.6,7.8,37325.10,0.00,0.00,0.00,0.0
1233648000,3,20.1,5.0,11.7,9.6,37446.08,0.00,0.00,0.00,0.0
1233734400,3,16.9,4.5,10.9,9.3,37569.08,0.00,0.00,0.00,0.0
1233820800,55,14.3,9.5,11.5,9.1,37693.94,7.80,7.80,0.00,16.0
1233907200,61,12.0,9.4,10.6,8.9,37820.51,8.90,8.90,0.00,16.0
1233993600,51,14.8,6.5,10.3,8.6,37948.63,0.10,0.10,0.00,1.0
1234080000,61,11.5,6.8,9.1,6.0,38078.18,5.20,5.20,0.00,7.0
1234166400,3,11.1,5.7,7.7,2.5,38209.01,0.00,0.00,0.00,0.0
1234252800,61,10.9,3.7,7.6,3.3,38340.96,3.90,3.90,0.00,4.0
1234339200,61,11.3,5.5,8.5,5.6,38473.91,7.10,7.10,0.00,12.0
1234425600,51,10.5,3.5,7.6,4.7,38607.73,0.10,0.10,0.00,1.0
1234512000,63,10.9,5.9,8.3,4.2,38742.27,13.50,13.50,0.00,18.0
1234598400,51,11.5,4.1,8.3,4.3,38877.41,3.00,3.00,0.00,12.0
1234684800,63,11.4,8.8,9.9,5.1,39013.03,41.20,41.20,0.00,23.0
1234771200,63,11.4,8.3,9.3,5.2,39148.99,37.30,37.30,0.00,23.0
1234857600,63,11.6,7.2,9.4,5.9,39285.16,24.50,24.50,0.00,22.0
1234944000,3,14.7,4.8,9.9,7.6,39421.44,0.00,0.00,0.00,0.0
1235030400,3,16.4,3.9,9.9,7.4,39557.70,0.00,0.00,0.00,0.0
1235116800,3,16.6,7.0,11.6,10.3,39694.42,0.00,0.00,0.00,0.0
1235203200,51,16.7,5.8,11.5,9.7,39832.56,0.40,0.40,0.00,2.0
1235289600,63,14.2,11.7,12.6,9.1,39972.04,35.90,35.90,0.00,24.0
1235376000,53,14.6,11.6,12.9,10.0,40112.72,6.30,6.30,0.00,19.0
1235462400,51,14.4,8.5,11.4,10.1,40254.49,0.90,0.90,0.00,3.0
1235548800,51,14.1,8.3,11.3,9.0,40397.22,0.70,0.70,0.00,4.0
1235635200,53,14.2,8.2,11.5,9.1,40540.81,2.50,2.50,0.00,8.0
1235721600,3,13.3,5.2,9.2,6.7,40685.12,0.00,0.00,0.00,0.0
1235808000,53,19.2,6.7,12.4,9.7,40830.06,0.70,0.70,0.00,2.0
1235894400,55,14.5,10.9,12.9,10.3,40975.50,6.80,6.80,0.00,17.0
1235980800,55,14.4,11.4,12.8,9.6,41121.34,13.10,13.10,0.00,21.0
1236067200,61,12.5,9.2,10.6,6.8,41267.47,15.40,15.40,0.00,21.0
1236153600,53,11.9,6.0,9.2,6.0,41413.77,3.30,3.30,0.00,9.0
1236240000,53,12.8,6.6,9.7,7.0,41560.15,3.20,3.20,0.00,7.0
1236326400,3,12.5,6.5,9.3,5.8,41706.49,0.00,0.00,0.00,0.0
1236412800,3,14.2,5.7,9.5,7.9,41852.69,0.00,0.00,0.00,0.0
1236499200,3,13.1,6.4,9.0,5.5,41998.64,0.00,0.00,0.00,0.0
1236585600,1,11.5,4.9,7.8,2.4,42144.25,0.00,0.00,0.00,0.0
1236672000,3,12.3,3.2,7.7,4.6,42289.40,0.00,0.00,0.00,0.0
1236758400,3,13.8,5.2,9.5,7.8,42433.99,0.00,0.00,0.00,0.0
1236844800,3,14.5,5.3,9.8,8.2,42578.47,0.00,0.00,0.00,0.0
1236931200,3,13.3,6.2,9.2,7.1,42723.73,0.00,0.00,0.00,0.0
1237017600,3,11.3,7.3,9.2,5.2,42869.71,0.00,0.00,0.00,0.0
1237104000,51,14.1,9.9,11.7,9.2,43016.30,1.20,1.20,0.00,9.0
1237190400,51,14.9,10.6,12.5,11.0,43163.41,1.10,1.10,0.00,5.0
1237276800,3,16.2,10.0,12.2,11.1,43310.95,0.00,0.00,0.00,0.0
1237363200,3,18.0,9.0,12.9,11.7,43458.82,0.00,0.00,0.00,0.0
1237449600,3,17.5,9.0,12.8,11.0,43606.93,0.00,0.00,0.00,0.0
1237536000,3,15.1,9.6,11.6,9.2,43755.17,0.00,0.00,0.00,0.0
1237622400,53,13.2,9.4,11.0,7.6,43903.48,2.80,2.80,0.00,9.0
1237708800,61,11.6,6.8,8.9,2.5,44051.73,5.00,5.00,0.00,5.0
1237795200,0,13.5,4.0,8.8,4.0,44199.84,0.00,0.00,0.00,0.0
1237881600,1,17.0,5.9,11.0,8.3,44347.72,0.00,0.00,0.00,0.0
1237968000,3,17.3,6.6,11.5,8.5,44495.27,0.00,0.00,0.00,0.0
1238054400,2,19.1,9.2,13.6,10.6,44642.39,0.00,0.00,0.00,0.0
1238140800,2,21.4,9.5,14.5,13.2,44788.99,0.00,0.00,0.00,0.0
1238227200,3,17.9,10.0,13.0,11.5,44934.96,0.00,0.00,0.00,0.0
1238313600,0,17.4,8.3,12.3,7.5,45080.23,0.00,0.00,0.00,0.0
1238400000,0,18.3,7.7,12.4,8.7,45224.67,0.00,0.00,0.00,0.0
1238486400,3,19.3,7.0,12.6,10.1,45368.19,0.00,0.00,0.00,0.0
1238572800,3,18.9,8.3,12.8,8.2,45511.21,0.00,0.00,0.00,0.0
1238659200,2,15.7,7.8,10.9,6.0,45654.55,0.00,0.00,0.00,0.0
1238745600,1,14.8,6.0,10.1,4.9,45798.17,0.00,0.00,0.00,0.0
1238832000,0,15.9,5.4,10.8,8.2,45941.95,0.00,0.00,0.00,0.0
1238918400,0,20.6,5.6,13.8,11.5,46085.83,0.00,0.00,0.00,0.0
1239004800,3,22.8,8.1,14.5,12.6,46229.70,0.00,0.00,0.00,0.0
1239091200,61,15.0,9.0,11.1,8.8,46373.47,10.00,10.00,0.00,16.0
1239177600,51,14.2,9.1,11.4,9.4,46517.05,1.40,1.40,0.00,8.0
1239264000,51,11.9,9.7,10.7,8.4,46660.35,2.60,2.60,0.00,15.0
1239350400,3,13.8,8.4,10.5,7.3,46803.27,0.00,0.00,0.00,0.0
1239436800,3,14.4,7.4,10.6,7.2,46945.71,0.00,0.00,0.00,0.0
1239523200,2,16.4,9.0,12.2,9.9,47087.58,0.00,0.00,0.00,0.0
1239609600,3,17.0,8.8,12.4,8.9,47228.77,0.00,0.00,0.00,0.0
1239696000,51,13.0,5.8,9.1,1.7,47369.18,0.20,0.20,0.00,1.0
1239782400,0,14.3,5.4,9.4,4.3,47508.71,0.00,0.00,0.00,0.0
1239868800,3,15.2,6.2,10.1,6.8,47647.25,0.00,0.00,0.00,0.0
1239955200,1,19.4,6.3,12.6,10.2,47784.69,0.00,0.00,0.00,0.0
1240041600,2,20.3,9.0,14.0,13.0,47920.93,0.00,0.00,0.00,0.0
1240128000,3,26.3,10.3,18.4,18.1,48055.85,0.00,0.00,0.00,0.0
1240214400,3,28.8,15.6,21.7,21.2,48189.33,0.00,0.00,0.00,0.0
1240300800,3,28.7,16.6,22.0,20.9,48321.77,0.00,0.00,0.00,0.0
1240387200,3,21.1,10.1,14.7,13.3,48453.96,0.00,0.00,0.00,0.0
1240473600,3,15.7,9.4,11.9,8.4,48585.85,0.00,0.00,0.00,0.0
1240560000,3,14.3,8.8,10.7,6.3,48717.32,0.00,0.00,0.00,0.0
1240646400,2,14.6,7.3,10.5,6.7,48848.27,0.00,0.00,0.00,0.0
1240732800,1,16.5,7.5,11.2,7.9,48978.62,0.00,0.00,0.00,0.0
1240819200,3,12.9,7.7,9.7,5.1,49108.24,0.00,0.00,0.00,0.0
1240905600,1,13.7,7.4,10.2,5.8,49237.04,0.00,0.00,0.00,0.0
1240992000,0,14.2,7.1,10.4,6.7,49364.90,0.00,0.00,0.00,0.0
1241078400,3,15.3,6.7,10.7,7.8,49491.71,0.00,0.00,0.00,0.0
1241164800,61,15.6,9.3,12.2,9.9,49617.38,12.20,12.20,0.00,15.0
1241251200,53,14.9,12.1,13.4,11.8,49741.76,1.80,1.80,0.00,5.0
1241337600,53,15.3,11.1,13.3,12.0,49864.75,3.80,3.80,0.00,7.0
1241424000,51,16.8,10.2,13.6,12.0,49986.24,1.20,1.20,0.00,6.0
1241510400,53,17.2,12.6,14.4,13.6,50106.09,4.00,4.00,0.00,10.0
1241596800,3,17.0,11.5,13.9,13.1,50224.18,0.00,0.00,0.00,0.0
1241683200,1,20.3,10.2,14.7,12.5,50340.39,0.00,0.00,0.00,0.0
1241769600,1,20.6,8.8,14.7,12.9,50454.59,0.00,0.00,0.00,0.0
