latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
34.059753,-118.2375,91.0,-28800,America/Los_Angeles,PST

time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_mean (°C),daylight_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h)
1230796800,2,19.7,6.1,11.6,10.0,35771.76,0.00,0.00,0.00,0.0
1230883200,51,14.6,7.2,10.3,9.0,35808.14,0.10,0.10,0.00,1.0
1230969600,51,13.5,6.7,10.0,8.7,35847.25,0.10,0.10,0.00,1.0
1231056000,2,15.4,2.8,7.9,4.5,35889.04,0.00,0.00,0.00,0.0
1231142400,3,13.0,1.1,6.6,3.4,35933.45,0.00,0.00,0.00,0.0
1231228800,3,16.2,3.2,8.7,6.7,35980.42,0.00,0.00,0.00,0.0
1231315200,1,19.3,4.7,11.0,9.5,36029.89,0.00,0.00,0.00,0.0
1231401600,1,19.8,6.4,12.0,10.7,36081.80,0.00,0.00,0.00,0.0
1231488000,2,21.7,6.7,12.3,9.8,36136.09,0.00,0.00,0.00,0.0
1231574400,0,21.9,4.9,11.7,8.1,36192.71,0.00,0.00,0.00,0.0
1231660800,1,26.0,7.1,14.4,10.9,36251.92,0.00,0.00,0.00,0.0
1231747200,0,28.0,9.5,16.5,13.3,36314.27,0.00,0.00,0.00,0.0
1231833600,0,28.0,11.1,17.3,14.5,36379.64,0.00,0.00,0.00,0.0
1231920000,0,29.0,9.5,17.1,13.8,36447.88,0.00,0.00,0.00,0.0
1232006400,0,27.4,9.2,16.7,13.3,36518.88,0.00,0.00,0.00,0.0
1232092800,0,26.3,8.7,16.1,12.5,36592.49,0.00,0.00,0.00,0.0
1232179200,0,26.7,8.6,16.2,12.9,36668.60,0.00,0.00,0.00,0.0
1232265600,3,27.2,8.8,16.6,12.7,36747.07,0.00,0.00,0.00,0.0
1232352000,3,27.5,10.8,17.7,14.1,36827.77,0.00,0.00,0.00,0.0
1232438400,3,27.8,13.0,19.1,15.8,36910.59,0.00,0.00,0.00,0.0
