Column Names,Remapping
Total number of people traveling on trip,tottr
Number of household members on trip,hhmem
Mode of transport,mode_category
Duration of trip,duration_min
Trip distance,trip_distance_miles
Time of arrival,arr_time
Time of departure,dep_time
city_from_zip,city_from_zip
TDATE,travel_date
GEND,gender
AGE,age
NTVTY,citizen
LIC,driver_license
TRANS,transit_pass
FLEX,car_sharing
EMPLY,employment
WKSTAT,empl_status
JOBS,job_count
WLOC,empl_sec_loc
WDAYS,workday_count
HOURS,hour_per_week
WSCHED,workday_flex
WMODE,commute_mode
INDUS,empl_industry
OCCUP,empl_occupation
DISAB,disabled
TTRIP,transit_trip
TRNSUB,transit_subsidy
WTRIP,walk_trips
BTRIP,bike_trips
STUDE,student
SCHOL,school_grade
SCITY,school_city
SMODE,school_mode
EDUCA,education
PTRIPS,person_trips
Merged_RACE,race
Merged_WDAY,workday_range
INCEN,incentive
HHVEH,vehicle_count
HHBIC,bike_count
RESTY,residence_type
OWN,home_own
INCOM,income
HHSIZ,persons_count
HHEMP,worker_count
HHSTU,student_count
HHLIC,license_count
HTRIPS,trip_count
HCITY,home_city
VEHOP,vehicle_op_count
HPrimaryCity,home_primarycity
weather_code (wmo code),WMO_code
temperature_2m_max (Â°C),amb_temp_max (C)
temperature_2m_min (Â°C),amb_temp_min (C)
temperature_2m_mean (Â°C),amb_temp_mean (C)
apparent_temperature_mean (Â°C),apparent_temp_mean (C)
daylight_duration (s),daylight_dur (s)
precipitation_sum (mm),total_ precip (mm)
rain_sum (mm),rain (mm)
snowfall_sum (cm),snowfall (cm)
precipitation_hours (h),precip_hours (h)
Year of vehicle,model_year
Vehicle body type,body_type
Primary fuel type,fuel_type1
Vehicle acquired,purchase_type
Vehicle ownership type,ownership
Vehicle transmission type,transmission
Vehicle cylinder count,cylinders
Vehicle type,veh_type
