tottr,hhmem,mode_category,duration_min,trip_distance_miles,arr_time,dep_time,city_from_zip,travel_date,gender,age,citizen,driver_license,transit_pass,car_sharing,employment,job_count,empl_sec_loc,workday_count,hour_per_week,workday_flex,commute_mode,empl_industry,empl_occupation,disabled,transit_trip,transit_subsidy,walk_trips,bike_trips,student,school_grade,school_city,school_mode,education,person_trips,HOVL,Moto_trip,race,workday_range,incentive,vehicle_count,bike_count,residence_type,home_own,income,persons_count,worker_count,student_count,license_count,trip_count,home_city,vehicle_op_count,home_primarycity,WMO_code,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_mean (°C),daylight_dur (s),total_ precip (mm),rain (mm),snowfall (cm),precip_hours (h),model_year,body_type,fuel_type1,purchase_type,ownership,transmission,cylinders,veh_type
1.0,0.0,5.0,30.0,7.82804740922891,08:00:00,07:30:00,San Francisco Bay Area,2012-05-03,1.0,32.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,24.0,1.0,5.0,44.0,41.0,2.0,0.0,2.0,0.0,5.0,2.0,7.0,BERKELEY,5.0,5.0,2.0,2.0,1.0,1.0,"[5, 6, 7, 4, nan, nan, nan]",1,3,4,1,1,10,3,3,1,3,8,CLAYTON,3.0,CLAYTON,51.0,15.1,9.4,12.2,9.7,49892.48,0.4,0.4,0.0,4.0,1998.0,6.0,1.0,2.0,1.0,2.0,2.0,2.0
1.0,0.0,5.0,30.0,7.83707263280555,17:30:00,17:00:00,San Francisco Bay Area,2012-05-03,1.0,32.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,24.0,1.0,5.0,44.0,41.0,2.0,0.0,2.0,0.0,5.0,2.0,7.0,BERKELEY,5.0,5.0,2.0,2.0,1.0,1.0,"[5, 6, 7, 4, nan, nan, nan]",1,3,4,1,1,10,3,3,1,3,8,CLAYTON,3.0,CLAYTON,51.0,15.1,9.4,12.2,9.7,49892.48,0.4,0.4,0.0,4.0,1998.0,6.0,1.0,2.0,1.0,2.0,2.0,2.0
1.0,0.0,5.0,20.0,3.4997017915063,08:20:00,08:00:00,San Francisco Bay Area,2012-02-27,1.0,42.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,40.0,2.0,5.0,51.0,15.0,2.0,0.0,2.0,7.0,0.0,2.0,8.0,ROHNERT PARK,5.0,6.0,4.0,2.0,1.0,4.0,"[8, nan, nan, nan, nan, nan, nan]",1,1,3,6,2,7,3,1,3,2,18,SANTA ROSA,1.0,SANTA ROSA,71.0,1.7,-4.0,-1.6,-5.4,40341.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,5.0,15.0,3.49591148888117,17:45:00,17:30:00,San Francisco Bay Area,2012-02-27,1.0,42.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,40.0,2.0,5.0,51.0,15.0,2.0,0.0,2.0,7.0,0.0,2.0,8.0,ROHNERT PARK,5.0,6.0,4.0,2.0,1.0,4.0,"[8, nan, nan, nan, nan, nan, nan]",1,1,3,6,2,7,3,1,3,2,18,SANTA ROSA,1.0,SANTA ROSA,71.0,1.7,-4.0,-1.6,-5.4,40341.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,2.0,5.0,0.701975986487392,18:10:00,18:05:00,San Francisco Bay Area,2012-02-27,1.0,42.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,40.0,2.0,5.0,51.0,15.0,2.0,0.0,2.0,7.0,0.0,2.0,8.0,ROHNERT PARK,5.0,6.0,4.0,2.0,1.0,4.0,"[8, nan, nan, nan, nan, nan, nan]",1,1,3,6,2,7,3,1,3,2,18,SANTA ROSA,1.0,SANTA ROSA,71.0,1.7,-4.0,-1.6,-5.4,40341.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,2.0,5.0,0.701975986487249,18:50:00,18:45:00,San Francisco Bay Area,2012-02-27,1.0,42.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,40.0,2.0,5.0,51.0,15.0,2.0,0.0,2.0,7.0,0.0,2.0,8.0,ROHNERT PARK,5.0,6.0,4.0,2.0,1.0,4.0,"[8, nan, nan, nan, nan, nan, nan]",1,1,3,6,2,7,3,1,3,2,18,SANTA ROSA,1.0,SANTA ROSA,71.0,1.7,-4.0,-1.6,-5.4,40341.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,5.0,14.0,2.0331298074434,09:32:00,09:18:00,Fresno Area,2012-02-20,2.0,31.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,20.0,3.0,0.0,61.0,19.0,2.0,0.0,2.0,2.0,0.0,1.0,6.0,FRESNO,5.0,6.0,6.0,2.0,1.0,1.0,"[8, nan, nan, nan, nan, nan, nan]",1,2,2,5,2,5,2,2,1,2,12,FRESNO,2.0,FRESNO,3.0,16.4,4.8,10.2,7.7,39749.01,0.0,0.0,0.0,0.0,1995.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0
1.0,0.0,5.0,7.0,2.04055761585053,12:21:00,12:14:00,Fresno Area,2012-02-20,2.0,31.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,20.0,3.0,0.0,61.0,19.0,2.0,0.0,2.0,2.0,0.0,1.0,6.0,FRESNO,5.0,6.0,6.0,2.0,1.0,1.0,"[8, nan, nan, nan, nan, nan, nan]",1,2,2,5,2,5,2,2,1,2,12,FRESNO,2.0,FRESNO,3.0,16.4,4.8,10.2,7.7,39749.01,0.0,0.0,0.0,0.0,1995.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0
1.0,0.0,5.0,8.0,2.0331298074434,14:04:00,13:56:00,Fresno Area,2012-02-20,2.0,31.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,20.0,3.0,0.0,61.0,19.0,2.0,0.0,2.0,2.0,0.0,1.0,6.0,FRESNO,5.0,6.0,6.0,2.0,1.0,1.0,"[8, nan, nan, nan, nan, nan, nan]",1,2,2,5,2,5,2,2,1,2,12,FRESNO,2.0,FRESNO,3.0,16.4,4.8,10.2,7.7,39749.01,0.0,0.0,0.0,0.0,1995.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0
1.0,0.0,5.0,12.0,2.04055761585053,15:37:00,15:25:00,Fresno Area,2012-02-20,2.0,31.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,20.0,3.0,0.0,61.0,19.0,2.0,0.0,2.0,2.0,0.0,1.0,6.0,FRESNO,5.0,6.0,6.0,2.0,1.0,1.0,"[8, nan, nan, nan, nan, nan, nan]",1,2,2,5,2,5,2,2,1,2,12,FRESNO,2.0,FRESNO,3.0,16.4,4.8,10.2,7.7,39749.01,0.0,0.0,0.0,0.0,1995.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0
2.0,1.0,5.0,19.0,11.0866587122757,18:09:00,17:50:00,Fresno Area,2012-02-20,2.0,31.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,20.0,3.0,0.0,61.0,19.0,2.0,0.0,2.0,2.0,0.0,1.0,6.0,FRESNO,5.0,6.0,6.0,2.0,1.0,1.0,"[8, nan, nan, nan, nan, nan, nan]",1,2,2,5,2,5,2,2,1,2,12,FRESNO,2.0,FRESNO,3.0,16.4,4.8,10.2,7.7,39749.01,0.0,0.0,0.0,0.0,1995.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0
