latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
34.059753,-117.45001,310.0,-28800,America/Los_Angeles,PST

time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_mean (°C),daylight_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h)
1230796800,2,19.7,3.1,10.7,8.8,35771.76,0.00,0.00,0.00,0.0
1230883200,51,15.1,5.1,9.9,8.3,35808.14,0.30,0.30,0.00,2.0
1230969600,51,12.2,5.9,8.6,6.9,35847.25,0.50,0.50,0.00,4.0
1231056000,2,11.9,-0.3,5.3,1.5,35889.04,0.00,0.00,0.00,0.0
1231142400,3,11.7,-1.9,4.8,1.3,35933.45,0.00,0.00,0.00,0.0
1231228800,3,15.9,0.4,7.6,5.5,35980.42,0.00,0.00,0.00,0.0
1231315200,1,20.1,2.1,10.6,8.9,36029.89,0.00,0.00,0.00,0.0
1231401600,2,21.0,3.9,11.9,10.7,36081.80,0.00,0.00,0.00,0.0
1231488000,2,18.5,5.0,10.4,7.2,36136.09,0.00,0.00,0.00,0.0
1231574400,0,18.6,1.9,8.8,5.2,36192.71,0.00,0.00,0.00,0.0
1231660800,2,23.3,4.1,11.7,8.6,36251.92,0.00,0.00,0.00,0.0
1231747200,0,24.2,5.4,12.8,9.6,36314.27,0.00,0.00,0.00,0.0
1231833600,0,24.1,6.7,13.2,10.3,36379.64,0.00,0.00,0.00,0.0
1231920000,0,25.6,5.0,13.2,10.1,36447.88,0.00,0.00,0.00,0.0
1232006400,0,24.8,5.3,13.1,9.9,36518.88,0.00,0.00,0.00,0.0
1232092800,0,23.2,5.4,12.8,9.3,36592.49,0.00,0.00,0.00,0.0
1232179200,0,24.4,5.4,13.6,10.3,36668.60,0.00,0.00,0.00,0.0
1232265600,3,23.7,5.1,12.9,9.3,36747.07,0.00,0.00,0.00,0.0
1232352000,3,24.9,7.5,14.7,11.4,36827.77,0.00,0.00,0.00,0.0
1232438400,3,25.8,9.5,16.7,13.5,36910.59,0.00,0.00,0.00,0.0
1232524800,3,23.9,10.8,17.0,15.0,36995.39,0.00,0.00,0.00,0.0
1232611200,53,18.6,12.3,15.5,14.8,37082.05,4.90,4.90,0.00,15.0
1232697600,53,16.6,11.7,14.5,14.5,37170.46,4.90,4.90,0.00,20.0
1232784000,51,14.6,9.6,11.7,11.0,37260.48,0.70,0.70,0.00,4.0
1232870400,51,11.8,7.3,9.7,8.2,37352.01,1.50,1.50,0.00,10.0
1232956800,61,11.0,4.2,7.0,5.2,37444.93,6.00,6.00,0.00,14.0
1233043200,3,13.5,-0.6,5.7,2.3,37539.12,0.00,0.00,0.00,0.0
1233129600,0,19.3,0.9,8.9,5.9,37634.48,0.00,0.00,0.00,0.0
1233216000,0,20.9,3.5,10.6,7.4,37730.89,0.00,0.00,0.00,0.0
1233302400,0,22.4,4.4,11.8,8.9,37828.24,0.00,0.00,0.00,0.0
1233388800,0,22.3,3.6,13.1,10.4,37926.94,0.00,0.00,0.00,0.0
1233475200,0,23.0,2.9,12.1,9.5,38027.80,0.00,0.00,0.00,0.0
1233561600,0,23.4,3.7,12.3,9.4,38130.71,0.00,0.00,0.00,0.0
1233648000,1,25.0,4.4,14.1,11.0,38235.52,0.00,0.00,0.00,0.0
1233734400,3,24.7,4.3,14.9,11.5,38342.11,0.00,0.00,0.00,0.0
1233820800,63,16.9,9.9,13.1,10.6,38450.35,17.10,17.10,0.00,10.0
1233907200,63,13.1,8.6,10.5,9.2,38560.09,32.10,32.10,0.00,24.0
1233993600,63,12.0,6.7,8.8,7.3,38671.21,27.10,27.10,0.00,18.0
1234080000,53,9.8,5.5,7.4,5.6,38783.59,5.50,5.50,0.00,17.0
1234166400,63,7.5,2.9,5.9,3.7,38897.10,22.80,22.80,0.00,19.0
1234252800,2,11.4,0.0,5.5,2.8,39011.62,0.00,0.00,0.00,0.0
1234339200,3,11.8,2.3,6.8,4.5,39127.04,0.00,0.00,0.00,0.0
1234425600,51,12.3,5.3,8.0,6.1,39243.23,0.70,0.70,0.00,6.0
1234512000,71,9.5,4.3,6.1,4.0,39360.07,9.40,9.30,0.07,11.0
1234598400,3,10.8,3.0,6.5,4.5,39477.46,0.00,0.00,0.00,0.0
1234684800,3,14.3,1.7,7.9,5.7,39595.29,0.00,0.00,0.00,0.0
1234771200,63,9.1,5.1,6.8,4.7,39713.45,32.80,32.80,0.00,19.0
1234857600,55,10.6,4.7,7.1,5.4,39831.81,8.40,8.40,0.00,21.0
1234944000,2,15.5,1.3,8.2,6.0,39950.28,0.00,0.00,0.00,0.0
1235030400,0,18.7,1.8,9.3,6.7,40068.76,0.00,0.00,0.00,0.0
1235116800,3,20.4,1.8,10.8,8.7,40187.66,0.00,0.00,0.00,0.0
1235203200,3,20.2,4.4,12.8,11.2,40307.83,0.00,0.00,0.00,0.0
1235289600,3,21.6,11.7,17.3,16.5,40429.17,0.00,0.00,0.00,0.0
1235376000,3,20.3,12.4,16.3,15.7,40551.59,0.00,0.00,0.00,0.0
1235462400,3,18.9,6.6,12.8,12.0,40674.96,0.00,0.00,0.00,0.0
1235548800,3,14.0,7.2,10.2,8.9,40799.20,0.00,0.00,0.00,0.0
1235635200,3,16.0,6.5,10.7,9.7,40924.19,0.00,0.00,0.00,0.0
1235721600,3,18.6,8.0,12.6,11.6,41049.84,0.00,0.00,0.00,0.0
1235808000,3,24.1,6.3,14.4,12.7,41176.05,0.00,0.00,0.00,0.0
1235894400,3,26.6,6.6,16.9,15.6,41302.72,0.00,0.00,0.00,0.0
1235980800,3,24.1,12.4,17.4,16.5,41429.75,0.00,0.00,0.00,0.0
1236067200,3,17.7,9.0,13.2,12.2,41557.04,0.00,0.00,0.00,0.0
1236153600,55,12.0,6.0,9.0,7.6,41684.50,6.40,6.40,0.00,13.0
1236240000,3,14.1,5.7,9.7,8.1,41812.04,0.00,0.00,0.00,0.0
1236326400,51,13.0,5.1,8.7,6.7,41939.55,0.10,0.10,0.00,1.0
1236412800,51,17.1,6.9,10.8,9.3,42066.96,0.50,0.50,0.00,4.0
1236499200,51,16.7,3.6,10.3,8.7,42194.17,0.30,0.30,0.00,2.0
1236585600,51,11.7,6.9,8.9,7.1,42321.08,0.50,0.50,0.00,5.0
1236672000,3,17.6,5.2,10.8,9.4,42447.61,0.00,0.00,0.00,0.0
1236758400,3,15.6,4.4,10.2,8.7,42573.65,0.00,0.00,0.00,0.0
1236844800,3,17.6,6.6,10.9,9.4,42699.61,0.00,0.00,0.00,0.0
1236931200,51,21.0,3.4,12.8,11.4,42826.25,0.20,0.20,0.00,1.0
1237017600,51,17.8,5.9,11.8,10.7,42953.52,0.10,0.10,0.00,1.0
1237104000,51,14.3,7.5,10.2,8.8,43081.33,0.30,0.30,0.00,3.0
1237190400,2,21.4,4.7,13.4,12.8,43209.60,0.00,0.00,0.00,0.0
