latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
34.13005,-118.1602,267.0,-28800,America/Los_Angeles,PST

time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_mean (°C),daylight_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h)
1230796800,0,18.6,5.6,10.7,8.6,35750.62,0.00,0.00,0.00,0.0
1230883200,3,13.9,6.0,9.4,7.8,35787.10,0.00,0.00,0.00,0.0
1230969600,51,12.1,5.7,8.9,7.3,35826.33,0.10,0.10,0.00,1.0
1231056000,3,14.3,1.8,6.9,2.9,35868.24,0.00,0.00,0.00,0.0
1231142400,3,11.9,0.5,5.7,2.2,35912.78,0.00,0.00,0.00,0.0
1231228800,3,15.1,2.4,7.7,5.4,35959.88,0.00,0.00,0.00,0.0
1231315200,0,18.3,3.9,10.2,8.3,36009.49,0.00,0.00,0.00,0.0
1231401600,0,18.9,5.4,11.1,9.5,36061.55,0.00,0.00,0.00,0.0
1231488000,1,20.3,6.1,11.3,7.8,36116.00,0.00,0.00,0.00,0.0
1231574400,0,20.8,4.2,10.7,6.6,36172.77,0.00,0.00,0.00,0.0
1231660800,2,24.8,6.6,13.5,9.7,36232.15,0.00,0.00,0.00,0.0
1231747200,0,26.6,8.9,15.5,11.7,36294.68,0.00,0.00,0.00,0.0
1231833600,0,26.8,10.0,16.3,12.8,36360.23,0.00,0.00,0.00,0.0
1231920000,0,27.8,9.3,16.5,12.6,36428.67,0.00,0.00,0.00,0.0
1232006400,0,26.2,9.0,15.9,12.1,36499.87,0.00,0.00,0.00,0.0
1232092800,0,25.1,8.2,15.3,11.2,36573.70,0.00,0.00,0.00,0.0
1232179200,0,25.6,8.2,15.4,11.8,36650.02,0.00,0.00,0.00,0.0
1232265600,3,26.0,8.5,15.9,11.6,36728.71,0.00,0.00,0.00,0.0
1232352000,3,26.4,10.6,17.0,13.1,36809.64,0.00,0.00,0.00,0.0
1232438400,3,26.8,12.3,18.2,14.4,36892.69,0.00,0.00,0.00,0.0
1232524800,3,22.9,12.7,16.8,14.2,36977.73,0.00,0.00,0.00,0.0
1232611200,61,19.2,10.9,15.2,14.4,37064.63,5.40,5.40,0.00,11.0
1232697600,53,15.7,12.3,13.9,13.6,37153.29,5.60,5.60,0.00,16.0
1232784000,51,15.0,10.1,12.2,11.6,37243.56,1.00,1.00,0.00,8.0
1232870400,53,13.1,7.6,10.5,9.3,37335.35,3.80,3.80,0.00,12.0
1232956800,53,13.0,4.3,7.9,5.5,37428.53,0.50,0.50,0.00,1.0
1233043200,3,15.9,2.5,8.0,4.2,37522.99,0.00,0.00,0.00,0.0
1233129600,0,19.9,3.7,10.7,7.3,37618.61,0.00,0.00,0.00,0.0
1233216000,0,23.2,5.8,12.9,9.1,37715.28,0.00,0.00,0.00,0.0
1233302400,0,25.2,6.9,14.7,11.1,37812.90,0.00,0.00,0.00,0.0
1233388800,0,24.0,7.8,14.8,11.5,37911.88,0.00,0.00,0.00,0.0
1233475200,0,24.0,5.2,13.8,10.7,38013.02,0.00,0.00,0.00,0.0
1233561600,0,26.0,7.6,15.6,11.6,38116.21,0.00,0.00,0.00,0.0
1233648000,0,26.7,8.3,16.3,12.3,38221.31,0.00,0.00,0.00,0.0
1233734400,3,25.2,8.0,15.4,11.5,38328.20,0.00,0.00,0.00,0.0
1233820800,61,15.8,8.9,11.7,9.4,38436.72,12.60,12.60,0.00,12.0
1233907200,63,13.4,9.0,10.8,9.2,38546.77,34.30,34.30,0.00,24.0
1233993600,61,12.4,6.5,9.1,7.7,38658.20,9.10,9.10,0.00,20.0
1234080000,53,11.6,5.4,8.3,6.4,38770.88,3.70,3.70,0.00,18.0
1234166400,61,8.9,3.1,6.8,4.1,38884.70,12.50,12.50,0.00,16.0
1234252800,2,12.3,-0.1,5.5,2.7,38999.54,0.00,0.00,0.00,0.0
1234339200,3,12.3,0.4,6.5,4.2,39115.27,0.00,0.00,0.00,0.0
1234425600,51,13.3,4.6,8.3,6.3,39231.77,0.80,0.80,0.00,5.0
1234512000,71,10.0,3.1,6.1,3.8,39348.93,8.40,8.30,0.07,7.0
1234598400,51,11.4,1.2,6.1,3.7,39466.65,0.40,0.40,0.00,2.0
1234684800,3,13.0,2.1,7.0,4.4,39584.79,0.00,0.00,0.00,0.0
1234771200,71,9.9,4.6,7.2,4.7,39703.26,37.80,37.60,0.14,18.0
1234857600,53,12.0,3.8,7.2,5.3,39821.95,7.00,7.00,0.00,20.0
1234944000,0,15.8,2.1,8.6,6.4,39940.74,0.00,0.00,0.00,0.0
1235030400,0,20.0,4.6,11.2,8.5,40059.54,0.00,0.00,0.00,0.0
