latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
38.558872,-121.548904,22.0,-28800,America/Los_Angeles,PST

time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_mean (°C),daylight_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h)
1262332800,51,13.2,7.0,9.9,8.2,34320.48,0.40,0.40,0.00,1.0
1262419200,51,15.3,8.4,11.3,10.3,34361.96,1.60,1.60,0.00,6.0
1262505600,3,13.1,4.0,8.2,6.7,34406.72,0.00,0.00,0.00,0.0
1262592000,3,15.0,4.3,8.6,6.5,34454.70,0.00,0.00,0.00,0.0
1262678400,3,14.3,4.7,9.0,7.3,34505.88,0.00,0.00,0.00,0.0
1262764800,55,12.7,2.5,7.7,6.2,34560.52,1.70,1.70,0.00,2.0
1262851200,3,12.8,4.0,7.8,6.4,34619.09,0.00,0.00,0.00,0.0
1262937600,53,13.3,6.6,9.0,7.8,34681.46,1.30,1.30,0.00,4.0
1263024000,3,11.7,5.7,8.5,7.5,34747.49,0.00,0.00,0.00,0.0
1263110400,3,14.7,6.5,9.7,8.6,34817.04,0.00,0.00,0.00,0.0
1263196800,3,16.3,5.9,10.2,9.0,34889.98,0.00,0.00,0.00,0.0
1263283200,63,15.9,7.9,12.0,10.2,34966.14,16.20,16.20,0.00,18.0
1263369600,63,15.5,7.8,12.0,10.5,35045.38,11.60,11.60,0.00,7.0
1263456000,3,15.7,5.1,9.4,7.3,35127.58,0.00,0.00,0.00,0.0
1263542400,3,14.1,5.0,9.0,7.6,35212.59,0.00,0.00,0.00,0.0
1263628800,51,14.3,4.5,9.2,7.8,35300.27,0.20,0.20,0.00,1.0
1263715200,61,11.8,9.8,10.4,8.1,35390.49,19.10,19.10,0.00,24.0
1263801600,63,11.8,8.5,10.6,6.8,35483.10,34.70,34.70,0.00,24.0
1263888000,63,10.2,7.9,9.1,4.3,35577.97,29.60,29.60,0.00,23.0
1263974400,63,10.6,7.5,8.6,3.4,35674.98,47.90,47.90,0.00,23.0
1264060800,61,8.5,5.1,7.1,4.3,35773.98,23.60,23.60,0.00,24.0
1264147200,55,7.9,4.4,5.9,3.0,35874.86,5.80,5.80,0.00,11.0
1264233600,51,11.8,4.7,7.4,4.5,35977.47,1.40,1.40,0.00,6.0
1264320000,61,7.9,3.5,5.8,3.2,36081.71,8.40,8.40,0.00,13.0
1264406400,61,9.7,8.1,8.6,5.7,36187.43,20.60,20.60,0.00,22.0
1264492800,53,13.1,7.6,10.2,8.1,36295.12,1.80,1.80,0.00,7.0
1264579200,3,14.9,3.3,8.9,6.9,36405.67,0.00,0.00,0.00,0.0
1264665600,3,11.0,2.9,7.3,5.7,36518.95,0.00,0.00,0.00,0.0
1264752000,53,14.7,4.5,9.1,7.7,36634.78,3.70,3.70,0.00,11.0
1264838400,51,13.5,5.7,9.5,7.8,36752.99,0.20,0.20,0.00,1.0
1264924800,3,12.3,4.5,8.0,6.5,36873.43,0.00,0.00,0.00,0.0
1265011200,51,13.3,4.8,8.7,7.1,36995.91,0.20,0.20,0.00,2.0
1265097600,51,13.5,3.5,8.0,6.2,37120.29,0.40,0.40,0.00,2.0
1265184000,3,14.7,4.8,9.2,7.7,37246.41,0.00,0.00,0.00,0.0
1265270400,63,14.9,5.6,10.2,7.3,37374.11,16.10,16.10,0.00,10.0
1265356800,61,15.7,9.2,11.8,9.3,37503.25,8.50,8.50,0.00,13.0
1265443200,63,13.1,8.6,10.7,8.9,37633.68,9.40,9.40,0.00,15.0
1265529600,51,14.0,6.7,9.9,8.5,37765.24,0.30,0.30,0.00,3.0
1265616000,51,13.2,3.1,8.6,6.5,37897.80,0.30,0.30,0.00,1.0
1265702400,61,11.4,6.4,8.9,6.8,38031.22,9.40,9.40,0.00,16.0
1265788800,3,14.4,3.4,8.9,6.9,38165.36,0.00,0.00,0.00,0.0
1265875200,3,13.8,7.0,9.8,7.9,38300.08,0.00,0.00,0.00,0.0
1265961600,3,14.8,8.7,11.7,10.4,38435.26,0.00,0.00,0.00,0.0
1266048000,3,17.3,9.0,12.5,11.6,38570.76,0.00,0.00,0.00,0.0
1266134400,3,16.4,5.0,10.4,9.5,38706.45,0.00,0.00,0.00,0.0
1266220800,3,19.1,5.8,11.9,10.9,38842.83,0.00,0.00,0.00,0.0
1266307200,3,18.6,7.4,12.7,12.3,38980.91,0.00,0.00,0.00,0.0
1266393600,3,18.6,7.2,12.3,12.0,39120.59,0.00,0.00,0.00,0.0
1266480000,3,17.1,7.6,11.8,11.1,39261.71,0.00,0.00,0.00,0.0
1266566400,3,13.3,7.8,10.8,9.4,39404.16,0.00,0.00,0.00,0.0
1266652800,3,13.9,4.9,9.4,7.0,39547.78,0.00,0.00,0.00,0.0
1266739200,51,12.6,6.8,9.3,6.9,39692.47,0.60,0.60,0.00,3.0
1266825600,3,14.6,3.8,8.3,5.6,39838.09,0.00,0.00,0.00,0.0
1266912000,61,10.7,5.0,7.9,4.7,39984.50,15.00,15.00,0.00,12.0
1266998400,61,13.9,7.7,10.2,8.1,40131.61,5.50,5.50,0.00,10.0
1267084800,3,15.6,6.5,10.7,9.7,40279.27,0.00,0.00,0.00,0.0
1267171200,63,15.0,8.4,11.6,9.1,40427.37,17.50,17.50,0.00,14.0
1267257600,61,14.7,7.0,10.4,9.0,40575.80,4.80,4.80,0.00,11.0
1267344000,3,16.7,3.9,10.5,9.4,40724.44,0.00,0.00,0.00,0.0
1267430400,51,16.9,6.9,11.4,10.3,40873.17,0.30,0.30,0.00,2.0
1267516800,61,13.1,8.2,10.5,8.7,41021.88,15.50,15.50,0.00,19.0
1267603200,63,11.8,6.7,8.7,6.3,41170.46,24.70,24.70,0.00,21.0
1267689600,51,11.7,3.1,7.0,4.8,41318.80,0.20,0.20,0.00,1.0
1267776000,3,13.2,1.7,7.8,5.5,41466.79,0.00,0.00,0.00,0.0
1267862400,3,17.4,6.7,11.4,9.5,41614.31,0.00,0.00,0.00,0.0
1267948800,2,18.0,5.8,11.7,10.2,41761.84,0.00,0.00,0.00,0.0
1268035200,3,13.2,5.8,9.3,5.7,41910.31,0.00,0.00,0.00,0.0
1268121600,53,12.5,3.2,7.7,5.0,42059.66,0.90,0.90,0.00,2.0
1268208000,55,12.2,3.3,7.7,5.2,42209.77,2.80,2.80,0.00,5.0
