latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
32.724075,-117.14285,20.0,-28800,America/Los_Angeles,PST

time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_mean (°C),daylight_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h)
1230796800,3,15.0,8.5,11.4,10.5,36166.30,0.00,0.00,0.00,0.0
1230883200,3,13.1,9.7,11.4,10.3,36200.74,0.00,0.00,0.00,0.0
1230969600,53,12.8,10.1,11.4,9.6,36237.76,1.30,1.30,0.00,6.0
1231056000,1,14.1,8.6,11.3,9.7,36277.32,0.00,0.00,0.00,0.0
1231142400,3,13.5,5.8,10.0,8.0,36319.36,0.00,0.00,0.00,0.0
1231228800,3,13.7,7.1,10.5,8.9,36363.82,0.00,0.00,0.00,0.0
1231315200,0,16.7,7.8,11.6,10.0,36410.66,0.00,0.00,0.00,0.0
1231401600,3,15.8,9.4,12.4,11.7,36459.81,0.00,0.00,0.00,0.0
1231488000,2,16.7,7.9,12.4,11.0,36511.22,0.00,0.00,0.00,0.0
1231574400,0,18.9,7.2,12.9,10.4,36564.83,0.00,0.00,0.00,0.0
1231660800,1,22.1,10.7,15.4,12.9,36620.90,0.00,0.00,0.00,0.0
1231747200,0,24.1,11.8,16.9,14.6,36679.95,0.00,0.00,0.00,0.0
1231833600,0,22.8,12.4,16.7,14.7,36741.85,0.00,0.00,0.00,0.0
1231920000,0,22.4,9.8,15.3,13.7,36806.50,0.00,0.00,0.00,0.0
1232006400,0,21.1,10.1,14.4,12.7,36873.74,0.00,0.00,0.00,0.0
1232092800,0,21.2,9.3,14.2,12.3,36943.48,0.00,0.00,0.00,0.0
1232179200,0,20.4,7.9,14.2,12.5,37015.58,0.00,0.00,0.00,0.0
1232265600,3,25.3,8.8,16.1,13.6,37089.92,0.00,0.00,0.00,0.0
1232352000,3,21.5,11.5,16.0,14.1,37166.39,0.00,0.00,0.00,0.0
1232438400,3,21.8,13.2,16.8,15.5,37244.86,0.00,0.00,0.00,0.0
1232524800,3,19.7,13.1,16.3,15.1,37325.23,0.00,0.00,0.00,0.0
1232611200,55,20.1,12.3,15.8,15.3,37407.36,7.50,7.50,0.00,12.0
1232697600,53,16.6,13.2,14.8,14.4,37491.15,1.80,1.80,0.00,5.0
1232784000,51,16.0,12.4,13.9,13.0,37576.48,0.20,0.20,0.00,2.0
1232870400,3,14.0,11.6,12.8,10.5,37663.25,0.00,0.00,0.00,0.0
1232956800,2,12.9,8.5,11.5,7.9,37751.34,0.00,0.00,0.00,0.0
1233043200,3,15.3,6.3,10.6,7.9,37840.64,0.00,0.00,0.00,0.0
1233129600,0,17.2,6.2,11.3,9.1,37931.05,0.00,0.00,0.00,0.0
1233216000,0,21.2,7.6,13.8,11.8,38022.47,0.00,0.00,0.00,0.0
1233302400,0,21.6,8.8,14.8,12.2,38114.79,0.00,0.00,0.00,0.0
1233388800,0,19.7,8.2,13.6,12.0,38208.39,0.00,0.00,0.00,0.0
1233475200,1,16.5,9.8,13.4,12.2,38304.06,0.00,0.00,0.00,0.0
1233561600,0,22.0,8.8,14.9,12.5,38401.67,0.00,0.00,0.00,0.0
1233648000,3,21.7,9.5,14.7,12.6,38501.10,0.00,0.00,0.00,0.0
1233734400,3,22.4,8.4,14.9,12.6,38602.22,0.00,0.00,0.00,0.0
1233820800,61,16.3,11.4,14.0,11.3,38704.91,7.10,7.10,0.00,10.0
1233907200,61,15.2,12.7,13.9,10.9,38809.03,8.50,8.50,0.00,19.0
1233993600,63,13.7,10.1,11.8,9.9,38914.48,20.70,20.70,0.00,18.0
1234080000,51,13.7,9.2,11.6,9.6,39021.12,1.30,1.30,0.00,5.0
1234166400,61,12.2,10.5,11.3,6.3,39128.86,8.90,8.90,0.00,13.0
1234252800,1,12.7,7.5,10.5,7.7,39237.54,0.00,0.00,0.00,0.0
1234339200,3,12.7,6.3,10.0,7.9,39347.09,0.00,0.00,0.00,0.0
1234425600,51,12.8,8.8,11.1,8.2,39457.39,0.30,0.30,0.00,2.0
1234512000,61,12.6,6.8,10.2,7.6,39568.31,3.60,3.60,0.00,7.0
1234598400,51,12.8,8.5,10.5,8.3,39679.76,1.50,1.50,0.00,6.0
1234684800,3,13.4,7.4,10.5,8.7,39791.62,0.00,0.00,0.00,0.0
1234771200,63,13.5,10.4,11.7,7.9,39903.81,18.60,18.60,0.00,15.0
1234857600,51,13.9,8.5,11.5,9.2,40016.21,1.30,1.30,0.00,9.0
1234944000,1,15.4,6.5,11.0,8.8,40128.71,0.00,0.00,0.00,0.0
1235030400,0,17.7,7.7,12.2,10.4,40241.23,0.00,0.00,0.00,0.0
1235116800,3,17.3,6.5,12.3,11.0,40354.15,0.00,0.00,0.00,0.0
1235203200,3,17.0,9.5,13.5,13.1,40468.28,0.00,0.00,0.00,0.0
1235289600,3,21.0,12.3,16.1,15.7,40583.54,0.00,0.00,0.00,0.0
1235376000,3,19.5,12.2,15.6,15.6,40699.81,0.00,0.00,0.00,0.0
1235462400,3,16.7,10.5,13.6,13.0,40817.01,0.00,0.00,0.00,0.0
