latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
34.27065,-119.24718,16.0,-28800,America/Los_Angeles,PST

time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_mean (°C),daylight_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h)
1230796800,1,16.7,6.8,11.5,10.2,35708.22,0.00,0.00,0.00,0.0
1230883200,3,13.5,7.2,10.7,9.5,35744.91,0.00,0.00,0.00,0.0
1230969600,51,13.3,7.3,10.6,9.3,35784.36,1.00,1.00,0.00,7.0
1231056000,3,14.6,4.3,9.2,6.8,35826.51,0.00,0.00,0.00,0.0
1231142400,3,13.6,5.0,9.3,7.2,35871.30,0.00,0.00,0.00,0.0
1231228800,3,14.4,7.1,10.2,8.4,35918.68,0.00,0.00,0.00,0.0
1231315200,2,16.5,6.1,11.1,9.9,35968.57,0.00,0.00,0.00,0.0
1231401600,2,17.3,7.8,12.0,11.0,36020.93,0.00,0.00,0.00,0.0
1231488000,1,18.6,6.7,11.8,9.8,36075.69,0.00,0.00,0.00,0.0
1231574400,0,20.1,7.5,12.7,9.8,36132.79,0.00,0.00,0.00,0.0
1231660800,2,23.6,8.8,14.5,12.5,36192.51,0.00,0.00,0.00,0.0
1231747200,0,26.5,11.7,16.9,14.1,36255.40,0.00,0.00,0.00,0.0
1231833600,0,24.6,11.1,16.7,14.5,36321.32,0.00,0.00,0.00,0.0
1231920000,0,25.0,9.2,16.5,14.3,36390.15,0.00,0.00,0.00,0.0
1232006400,0,23.7,8.6,15.3,13.1,36461.75,0.00,0.00,0.00,0.0
1232092800,0,24.2,9.2,15.2,12.3,36536.00,0.00,0.00,0.00,0.0
1232179200,0,22.8,8.3,14.6,12.1,36612.75,0.00,0.00,0.00,0.0
1232265600,0,25.2,8.6,15.7,11.9,36691.88,0.00,0.00,0.00,0.0
1232352000,2,24.2,11.3,16.6,13.4,36773.28,0.00,0.00,0.00,0.0
1232438400,3,24.0,12.1,17.4,15.0,36856.79,0.00,0.00,0.00,0.0
1232524800,51,21.2,12.2,15.8,13.8,36942.31,0.30,0.30,0.00,2.0
1232611200,55,18.5,11.2,14.8,14.1,37029.70,4.80,4.80,0.00,12.0
1232697600,53,15.8,12.5,14.6,14.4,37118.86,3.30,3.30,0.00,12.0
1232784000,53,14.6,9.9,12.5,11.7,37209.64,5.90,5.90,0.00,14.0
1232870400,1,15.7,8.3,11.4,8.2,37301.94,0.00,0.00,0.00,0.0
1232956800,1,14.4,6.5,9.9,6.7,37395.64,0.00,0.00,0.00,0.0
1233043200,3,16.5,3.8,9.5,6.6,37490.62,0.00,0.00,0.00,0.0
1233129600,1,18.5,5.9,11.7,9.5,37586.77,0.00,0.00,0.00,0.0
1233216000,0,23.8,7.6,14.4,11.2,37683.98,0.00,0.00,0.00,0.0
1233302400,0,23.8,8.7,15.1,12.7,37782.15,0.00,0.00,0.00,0.0
1233388800,0,21.0,6.7,13.6,11.7,37881.67,0.00,0.00,0.00,0.0
1233475200,0,20.3,7.1,13.5,11.4,37983.37,0.00,0.00,0.00,0.0
1233561600,0,22.6,8.0,14.6,12.0,38087.13,0.00,0.00,0.00,0.0
1233648000,1,22.7,7.3,15.1,12.8,38192.82,0.00,0.00,0.00,0.0
1233734400,3,22.6,7.6,14.9,12.2,38300.29,0.00,0.00,0.00,0.0
1233820800,63,14.4,10.0,11.6,9.9,38409.41,12.90,12.90,0.00,15.0
1233907200,63,13.3,8.1,11.0,9.8,38520.06,30.30,30.30,0.00,24.0
1233993600,61,12.9,6.7,9.3,7.6,38632.10,8.40,8.40,0.00,14.0
1234080000,51,13.7,8.4,10.6,8.6,38745.40,0.60,0.60,0.00,4.0
1234166400,61,10.9,6.9,8.5,4.8,38859.84,5.90,5.90,0.00,11.0
1234252800,1,13.5,4.2,8.6,5.6,38975.30,0.00,0.00,0.00,0.0
1234339200,51,11.4,5.6,8.5,6.3,39091.66,0.40,0.40,0.00,2.0
1234425600,3,14.1,5.3,9.1,5.8,39208.80,0.00,0.00,0.00,0.0
1234512000,63,9.1,5.3,7.2,4.8,39326.60,9.60,9.60,0.00,6.0
1234598400,2,12.0,3.5,7.7,5.5,39444.95,0.00,0.00,0.00,0.0
1234684800,3,12.9,4.2,8.3,5.0,39563.74,0.00,0.00,0.00,0.0
1234771200,63,11.2,7.4,8.9,6.2,39682.85,47.80,47.80,0.00,23.0
1234857600,53,11.8,5.2,8.1,6.4,39802.18,8.90,8.90,0.00,21.0
1234944000,2,14.8,2.4,8.7,6.6,39921.61,0.00,0.00,0.00,0.0
1235030400,0,18.4,5.6,11.1,8.9,40041.05,0.00,0.00,0.00,0.0
