latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
33.70826,-117.8385,26.0,-28800,America/Los_Angeles,PST

time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_mean (°C),daylight_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h)
1230796800,3,18.0,7.1,11.9,11.3,35876.89,0.00,0.00,0.00,0.0
1230883200,3,13.8,8.0,10.8,9.8,35912.75,0.00,0.00,0.00,0.0
1230969600,51,14.2,9.5,11.6,10.4,35951.30,0.20,0.20,0.00,1.0
1231056000,2,15.7,5.3,9.9,7.5,35992.50,0.00,0.00,0.00,0.0
1231142400,3,13.4,2.0,7.7,5.1,36036.28,0.00,0.00,0.00,0.0
1231228800,3,14.5,4.9,9.6,8.0,36082.57,0.00,0.00,0.00,0.0
1231315200,1,17.3,6.0,11.2,10.2,36131.34,0.00,0.00,0.00,0.0
1231401600,3,17.6,6.9,11.7,11.0,36182.52,0.00,0.00,0.00,0.0
1231488000,3,20.3,8.3,13.4,11.6,36236.04,0.00,0.00,0.00,0.0
1231574400,0,21.1,6.3,12.8,10.1,36291.85,0.00,0.00,0.00,0.0
1231660800,1,24.6,7.5,14.8,12.8,36350.22,0.00,0.00,0.00,0.0
1231747200,0,26.1,10.2,16.5,14.3,36411.69,0.00,0.00,0.00,0.0
1231833600,0,25.8,10.9,16.7,15.1,36476.12,0.00,0.00,0.00,0.0
1231920000,0,25.3,8.7,15.8,14.3,36543.41,0.00,0.00,0.00,0.0
1232006400,0,24.1,8.7,15.3,13.9,36613.41,0.00,0.00,0.00,0.0
1232092800,0,23.9,8.6,15.0,13.1,36685.98,0.00,0.00,0.00,0.0
1232179200,0,23.7,8.4,15.0,13.3,36761.03,0.00,0.00,0.00,0.0
1232265600,3,26.7,9.1,16.3,13.5,36838.39,0.00,0.00,0.00,0.0
1232352000,3,25.5,11.5,17.8,15.5,36917.96,0.00,0.00,0.00,0.0
1232438400,3,25.4,12.1,17.5,15.9,36999.62,0.00,0.00,0.00,0.0
1232524800,3,22.0,12.4,16.5,15.4,37083.24,0.00,0.00,0.00,0.0
1232611200,55,19.5,11.9,15.7,15.7,37168.69,6.50,6.50,0.00,14.0
1232697600,53,17.1,14.0,15.2,15.7,37255.86,3.50,3.50,0.00,11.0
1232784000,51,16.6,12.4,14.1,14.0,37344.64,0.90,0.90,0.00,4.0
1232870400,3,14.6,11.5,12.8,11.8,37434.90,0.00,0.00,0.00,0.0
1232956800,51,14.0,7.6,11.0,9.0,37526.53,0.20,0.20,0.00,1.0
1233043200,3,17.0,4.5,10.2,7.6,37619.41,0.00,0.00,0.00,0.0
1233129600,0,19.3,4.8,11.5,9.5,37713.45,0.00,0.00,0.00,0.0
1233216000,0,24.1,8.1,14.6,12.1,37808.53,0.00,0.00,0.00,0.0
1233302400,0,24.3,8.2,15.2,13.3,37904.54,0.00,0.00,0.00,0.0
1233388800,0,22.3,8.1,14.5,13.0,38001.88,0.00,0.00,0.00,0.0
1233475200,0,20.4,7.5,13.7,12.6,38101.35,0.00,0.00,0.00,0.0
1233561600,0,25.0,8.6,15.5,13.4,38202.85,0.00,0.00,0.00,0.0
1233648000,0,25.1,8.2,15.8,13.8,38306.23,0.00,0.00,0.00,0.0
1233734400,3,25.0,8.2,15.8,13.3,38411.36,0.00,0.00,0.00,0.0
1233820800,63,17.3,11.8,13.8,12.3,38518.11,18.70,18.70,0.00,10.0
1233907200,63,15.4,11.6,13.3,12.1,38626.36,24.20,24.20,0.00,24.0
1233993600,63,14.7,9.0,11.2,10.2,38735.96,21.30,21.30,0.00,19.0
1234080000,53,13.6,8.4,10.9,9.4,38846.82,4.30,4.30,0.00,17.0
1234166400,61,11.3,8.6,10.4,7.2,38958.79,13.80,13.80,0.00,17.0
1234252800,2,12.9,5.3,9.3,6.9,39071.76,0.00,0.00,0.00,0.0
1234339200,3,13.5,4.0,9.1,7.3,39185.61,0.00,0.00,0.00,0.0
1234425600,3,13.9,8.3,10.8,9.1,39300.22,0.00,0.00,0.00,0.0
1234512000,63,12.7,7.6,9.8,8.0,39415.49,7.60,7.60,0.00,10.0
1234598400,51,13.1,5.9,9.4,7.7,39531.30,0.10,0.10,0.00,1.0
1234684800,3,14.6,5.4,9.9,8.3,39647.54,0.00,0.00,0.00,0.0
1234771200,63,12.6,9.0,10.5,8.2,39764.10,32.80,32.80,0.00,19.0
1234857600,53,14.1,7.4,10.7,9.5,39880.88,3.60,3.60,0.00,15.0
1234944000,2,17.1,6.2,11.1,9.8,39997.76,0.00,0.00,0.00,0.0
1235030400,0,20.8,6.7,13.2,11.6,40114.66,0.00,0.00,0.00,0.0
1235116800,3,20.3,6.8,13.3,12.2,40231.96,0.00,0.00,0.00,0.0
1235203200,3,19.1,8.1,13.5,12.9,40350.52,0.00,0.00,0.00,0.0
1235289600,3,23.3,11.7,16.8,16.8,40470.24,0.00,0.00,0.00,0.0
1235376000,51,21.4,11.5,16.5,16.8,40591.02,0.50,0.50,0.00,3.0
1235462400,3,18.5,10.2,13.7,13.7,40712.75,0.00,0.00,0.00,0.0
1235548800,3,14.8,10.4,12.0,11.2,40835.33,0.00,0.00,0.00,0.0
1235635200,3,15.9,9.1,12.3,11.5,40958.66,0.00,0.00,0.00,0.0
1235721600,3,17.1,10.7,13.5,13.1,41082.64,0.00,0.00,0.00,0.0
1235808000,3,25.5,9.3,17.0,16.6,41207.17,0.00,0.00,0.00,0.0
1235894400,3,24.5,10.4,17.5,17.3,41332.16,0.00,0.00,0.00,0.0
1235980800,3,23.7,10.6,16.5,16.3,41457.50,0.00,0.00,0.00,0.0
1236067200,3,18.3,11.9,14.6,14.4,41583.11,0.00,0.00,0.00,0.0
1236153600,53,15.0,9.5,12.5,11.5,41708.88,3.20,3.20,0.00,13.0
1236240000,3,15.4,9.2,12.0,10.8,41834.73,0.00,0.00,0.00,0.0
1236326400,3,14.7,9.1,11.7,10.2,41960.56,0.00,0.00,0.00,0.0
1236412800,1,16.7,10.3,12.6,11.5,42086.29,0.00,0.00,0.00,0.0
1236499200,3,16.6,8.7,12.3,11.5,42211.81,0.00,0.00,0.00,0.0
1236585600,51,14.2,10.2,12.0,10.6,42337.05,0.70,0.70,0.00,5.0
1236672000,3,16.2,9.3,12.1,10.9,42461.90,0.00,0.00,0.00,0.0
1236758400,3,15.2,7.8,11.5,10.3,42586.28,0.00,0.00,0.00,0.0
1236844800,2,16.5,9.7,12.2,10.9,42710.57,0.00,0.00,0.00,0.0
1236931200,1,17.6,7.0,12.1,11.3,42835.55,0.00,0.00,0.00,0.0
1237017600,3,16.2,9.7,12.5,11.4,42961.14,0.00,0.00,0.00,0.0
1237104000,3,15.5,11.1,12.7,11.2,43087.27,0.00,0.00,0.00,0.0
1237190400,2,19.1,9.1,13.7,13.3,43213.85,0.00,0.00,0.00,0.0
1237276800,1,22.4,9.4,15.8,15.8,43340.80,0.00,0.00,0.00,0.0
1237363200,3,24.9,11.4,17.8,18.6,43468.04,0.00,0.00,0.00,0.0
1237449600,3,22.6,12.9,16.8,17.3,43595.48,0.00,0.00,0.00,0.0
1237536000,3,18.6,11.2,14.6,14.5,43723.04,0.00,0.00,0.00,0.0
1237622400,2,16.4,10.6,12.9,11.9,43850.65,0.00,0.00,0.00,0.0
1237708800,55,15.1,10.2,12.6,9.8,43978.21,3.50,3.50,0.00,8.0
1237795200,0,19.2,6.3,12.7,10.8,44105.66,0.00,0.00,0.00,0.0
1237881600,0,23.1,7.3,14.9,12.9,44232.90,0.00,0.00,0.00,0.0
1237968000,3,22.2,7.5,15.0,13.7,44359.86,0.00,0.00,0.00,0.0
1238054400,3,18.3,11.2,14.5,13.8,44486.43,0.00,0.00,0.00,0.0
1238140800,3,24.2,9.4,16.9,15.5,44612.56,0.00,0.00,0.00,0.0
1238227200,3,23.7,8.7,16.3,15.1,44738.14,0.00,0.00,0.00,0.0
1238313600,3,16.8,11.2,13.7,12.4,44863.10,0.00,0.00,0.00,0.0
1238400000,3,20.0,12.1,15.5,14.2,44987.34,0.00,0.00,0.00,0.0
1238486400,2,20.9,11.5,15.5,14.5,45110.79,0.00,0.00,0.00,0.0
1238572800,3,19.1,11.0,14.5,13.6,45233.78,0.00,0.00,0.00,0.0
1238659200,3,18.1,11.6,14.2,13.5,45357.05,0.00,0.00,0.00,0.0
1238745600,51,16.1,11.8,13.8,11.9,45480.54,0.10,0.10,0.00,1.0
1238832000,1,19.8,10.9,15.0,13.9,45604.16,0.00,0.00,0.00,0.0
1238918400,0,25.0,8.5,16.9,14.9,45727.85,0.00,0.00,0.00,0.0
1239004800,1,26.2,8.7,17.8,16.3,45851.52,0.00,0.00,0.00,0.0
1239091200,55,19.2,11.6,15.1,14.3,45975.09,3.70,3.70,0.00,5.0
1239177600,51,17.1,11.3,13.9,12.0,46098.48,1.00,1.00,0.00,4.0
1239264000,3,17.9,11.7,13.9,12.7,46221.61,0.00,0.00,0.00,0.0
1239350400,53,15.8,11.5,13.3,12.0,46344.38,3.20,3.20,0.00,13.0
1239436800,3,16.9,11.3,13.7,12.4,46466.74,0.00,0.00,0.00,0.0
1239523200,1,20.3,10.1,14.9,14.4,46588.57,0.00,0.00,0.00,0.0
1239609600,3,22.0,10.7,16.1,15.9,46709.81,0.00,0.00,0.00,0.0
1239696000,3,18.3,11.4,14.7,13.3,46830.36,0.00,0.00,0.00,0.0
1239782400,2,15.8,9.5,12.3,9.1,46950.12,0.00,0.00,0.00,0.0
1239868800,0,18.1,9.5,13.2,11.5,47069.02,0.00,0.00,0.00,0.0
1239955200,0,21.7,8.5,15.2,14.1,47186.95,0.00,0.00,0.00,0.0
1240041600,0,25.2,10.2,18.1,17.3,47303.82,0.00,0.00,0.00,0.0
1240128000,1,31.5,11.7,22.4,21.8,47419.54,0.00,0.00,0.00,0.0
1240214400,3,34.0,14.3,24.7,23.6,47534.02,0.00,0.00,0.00,0.0
1240300800,3,30.6,15.9,23.3,22.5,47647.55,0.00,0.00,0.00,0.0
1240387200,2,22.5,12.3,17.2,17.2,47760.86,0.00,0.00,0.00,0.0
1240473600,3,19.0,12.2,14.5,13.7,47873.88,0.00,0.00,0.00,0.0
1240560000,3,17.9,12.4,14.4,13.2,47986.52,0.00,0.00,0.00,0.0
1240646400,3,18.0,11.7,14.5,12.9,48098.69,0.00,0.00,0.00,0.0
1240732800,1,18.4,10.6,14.1,12.9,48210.31,0.00,0.00,0.00,0.0
1240819200,3,18.3,10.9,13.8,12.4,48321.29,0.00,0.00,0.00,0.0
1240905600,3,16.9,11.7,13.5,11.9,48431.52,0.00,0.00,0.00,0.0
1240992000,2,18.3,11.2,14.2,12.9,48540.93,0.00,0.00,0.00,0.0
1241078400,3,20.7,9.9,15.3,14.7,48649.42,0.00,0.00,0.00,0.0
1241164800,51,21.4,12.4,17.4,16.8,48756.89,0.30,0.30,0.00,1.0
1241251200,3,18.4,14.3,16.1,16.0,48863.24,0.00,0.00,0.00,0.0
1241337600,3,21.0,13.4,17.0,17.2,48968.37,0.00,0.00,0.00,0.0
1241424000,3,21.6,14.0,17.3,17.7,49072.18,0.00,0.00,0.00,0.0
1241510400,3,22.2,13.6,17.8,18.1,49174.57,0.00,0.00,0.00,0.0
1241596800,3,25.0,14.2,20.0,20.6,49275.43,0.00,0.00,0.00,0.0
1241683200,0,26.6,15.9,21.2,22.0,49374.64,0.00,0.00,0.00,0.0
1241769600,0,25.4,15.3,20.0,21.0,49472.12,0.00,0.00,0.00,0.0
1241856000,1,22.8,14.5,18.2,18.7,49567.73,0.00,0.00,0.00,0.0
1241942400,0,21.9,14.1,17.6,18.0,49661.37,0.00,0.00,0.00,0.0
1242028800,0,22.1,13.7,17.5,17.7,49753.32,0.00,0.00,0.00,0.0
1242115200,2,20.6,14.1,17.2,17.3,49844.20,0.00,0.00,0.00,0.0
1242201600,2,21.7,13.6,17.6,18.0,49933.93,0.00,0.00,0.00,0.0
1242288000,3,23.1,13.5,18.6,19.2,50022.45,0.00,0.00,0.00,0.0
1242374400,2,23.5,14.6,18.6,19.6,50109.66,0.00,0.00,0.00,0.0
1242460800,0,24.1,15.0,18.9,19.8,50195.46,0.00,0.00,0.00,0.0
1242547200,3,25.3,15.2,19.6,20.7,50279.79,0.00,0.00,0.00,0.0
1242633600,3,25.6,15.1,19.4,20.4,50362.54,0.00,0.00,0.00,0.0
1242720000,3,25.9,15.0,19.5,20.6,50443.63,0.00,0.00,0.00,0.0
1242806400,1,25.0,15.1,19.8,20.6,50522.97,0.00,0.00,0.00,0.0
1242892800,0,23.0,15.0,18.8,19.5,50600.46,0.00,0.00,0.00,0.0
1242979200,2,21.4,14.0,17.2,17.1,50676.00,0.00,0.00,0.00,0.0
1243065600,0,21.0,12.9,16.3,16.0,50749.51,0.00,0.00,0.00,0.0
1243152000,0,20.5,12.8,16.1,15.7,50820.87,0.00,0.00,0.00,0.0
1243238400,1,20.0,13.1,15.9,15.5,50890.02,0.00,0.00,0.00,0.0
1243324800,1,21.5,13.3,16.5,16.5,50956.83,0.00,0.00,0.00,0.0
1243411200,3,22.5,13.5,17.2,17.4,51021.21,0.00,0.00,0.00,0.0
1243497600,3,22.1,13.4,17.0,17.1,51083.07,0.00,0.00,0.00,0.0
