latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
37.363796,-121.91234,26.0,-28800,America/Los_Angeles,PST

time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_mean (°C),daylight_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h)
1262332800,3,15.6,9.2,12.5,11.6,34722.09,0.00,0.00,0.00,0.0
1262419200,3,17.0,7.1,12.4,11.8,34761.63,0.00,0.00,0.00,0.0
1262505600,3,16.7,4.0,9.7,8.0,34804.29,0.00,0.00,0.00,0.0
1262592000,3,18.6,6.4,11.7,10.3,34850.04,0.00,0.00,0.00,0.0
1262678400,3,17.7,8.6,11.6,9.7,34898.82,0.00,0.00,0.00,0.0
1262764800,3,17.2,6.8,11.2,9.3,34950.91,0.00,0.00,0.00,0.0
1262851200,3,18.2,6.9,11.6,10.7,35006.74,0.00,0.00,0.00,0.0
1262937600,51,18.9,6.9,12.1,11.3,35066.22,0.20,0.20,0.00,1.0
1263024000,51,15.9,6.8,11.2,10.4,35129.18,0.10,0.10,0.00,1.0
1263110400,3,18.6,7.3,12.2,11.2,35195.50,0.00,0.00,0.00,0.0
1263196800,3,17.9,8.9,12.1,10.7,35265.05,0.00,0.00,0.00,0.0
1263283200,63,14.8,8.4,12.1,10.8,35337.69,14.60,14.60,0.00,17.0
1263369600,63,15.4,9.2,12.1,11.3,35413.28,11.90,11.90,0.00,6.0
1263456000,3,16.0,5.9,9.9,8.6,35491.70,0.00,0.00,0.00,0.0
1263542400,3,15.8,4.8,9.9,7.9,35572.79,0.00,0.00,0.00,0.0
1263628800,53,14.6,6.8,11.3,9.6,35656.45,1.30,1.30,0.00,3.0
1263715200,55,12.5,10.3,11.0,9.6,35742.52,6.20,6.20,0.00,15.0
1263801600,63,12.3,9.0,10.6,7.9,35830.89,42.80,42.80,0.00,20.0
1263888000,63,13.2,8.4,10.3,7.8,35921.44,43.80,43.80,0.00,23.0
1263974400,63,12.3,7.9,9.6,6.2,36014.02,55.20,55.20,0.00,23.0
1264060800,63,9.0,6.1,7.8,5.4,36108.52,19.00,19.00,0.00,20.0
1264147200,61,8.7,4.3,6.6,4.5,36204.82,7.60,7.60,0.00,14.0
1264233600,53,12.3,4.0,8.2,6.4,36302.78,3.30,3.30,0.00,9.0
1264320000,61,11.6,5.5,8.3,6.2,36402.30,6.40,6.40,0.00,9.0
1264406400,61,11.7,8.4,10.0,7.8,36503.26,15.50,15.50,0.00,18.0
1264492800,55,12.7,9.5,11.0,10.0,36606.09,7.10,7.10,0.00,15.0
1264579200,3,14.4,6.1,9.8,8.4,36711.67,0.00,0.00,0.00,0.0
1264665600,3,15.5,6.4,10.0,8.6,36819.87,0.00,0.00,0.00,0.0
1264752000,55,14.2,6.0,9.6,7.9,36930.52,4.30,4.30,0.00,8.0
1264838400,3,14.3,5.4,9.9,8.6,37043.45,0.00,0.00,0.00,0.0
1264924800,3,15.3,4.5,9.6,8.1,37158.50,0.00,0.00,0.00,0.0
1265011200,3,15.2,7.5,11.1,9.7,37275.54,0.00,0.00,0.00,0.0
1265097600,3,14.7,5.5,10.5,9.2,37394.40,0.00,0.00,0.00,0.0
1265184000,3,16.1,9.1,11.8,10.9,37514.93,0.00,0.00,0.00,0.0
1265270400,63,14.3,7.7,10.9,8.5,37636.99,23.80,23.80,0.00,14.0
1265356800,63,15.1,9.3,11.5,10.3,37760.43,8.20,8.20,0.00,9.0
1265443200,63,12.6,7.2,10.1,8.4,37885.10,21.30,21.30,0.00,17.0
1265529600,3,13.6,5.8,9.1,6.9,38010.88,0.00,0.00,0.00,0.0
1265616000,55,12.5,7.4,9.5,8.0,38137.62,1.10,1.10,0.00,1.0
1265702400,61,12.7,5.0,8.7,6.4,38265.20,5.10,5.10,0.00,7.0
1265788800,3,13.4,7.9,9.8,8.2,38393.47,0.00,0.00,0.00,0.0
1265875200,3,13.8,4.3,9.3,7.8,38522.31,0.00,0.00,0.00,0.0
1265961600,51,16.1,10.1,12.3,11.5,38651.60,0.10,0.10,0.00,1.0
1266048000,3,17.6,7.4,12.2,11.5,38781.20,0.00,0.00,0.00,0.0
1266134400,3,18.0,8.4,12.1,10.9,38911.00,0.00,0.00,0.00,0.0
1266220800,3,19.4,8.7,13.1,11.9,39041.47,0.00,0.00,0.00,0.0
1266307200,3,19.9,10.8,14.2,13.7,39173.58,0.00,0.00,0.00,0.0
1266393600,3,20.7,8.6,14.7,14.4,39307.22,0.00,0.00,0.00,0.0
1266480000,3,18.1,10.6,13.6,13.5,39442.26,0.00,0.00,0.00,0.0
1266566400,3,13.3,8.8,10.6,9.3,39578.56,0.00,0.00,0.00,0.0
1266652800,51,13.3,8.3,10.4,8.8,39716.02,0.20,0.20,0.00,1.0
